,GSM3690866_G13_htseq,GSM3690863_G10_htseq,GSM3690855_G05_htseq,GSM3690867_G14_htseq,GSM3690857_G07_htseq,GSM3690868_G09_htseq,GSM3690864_G11_htseq,GSM3690852_G03_htseq,GSM3690851_G01_htseq,GSM3690865_G12_htseq,GSM3690858_G04_htseq,GSM3690856_G06_htseq
Abca3,208,154,0,0,0,93,483,0,4,0,0,44
Abca4,73,0,0,0,0,0,0,0,0,24,0,0
Abca5,877,615,7,40,352,192,258,227,114,585,1528,847
Abca6,7,6,2,0,2,5,1,4,2,7,11,106
Abca7,227,136,10,439,1,43,0,0,705,20,0,28
Abca8a,0,0,0,2,0,0,122,1,0,0,0,24
Abca8b,281,325,0,1,0,21,59,36,3,128,8,520
Abca9,0,11,0,6,0,133,31,0,0,0,0,5
Abcb10,179,0,0,5,0,5,55,0,0,154,1,0
Abcb11,1,0,0,0,0,0,2,0,0,0,0,20
Abcb1a,0,1,1,0,0,0,0,0,0,0,0,3
Abcb1b,2,0,23,0,35,53,6,0,158,61,10,99
Abcb4,59,166,4,27,5,30,111,133,69,6,2,327
Abcb5,0,0,0,0,0,0,0,0,0,7,0,0
Abcb6,310,486,20,4,890,4,67,75,138,339,1761,1049
Abcb7,295,121,7,217,11,16,156,39,24,65,42,20
Abcb8,352,399,0,0,817,68,338,55,0,130,831,39
Abcb9,153,28,0,0,0,0,110,4,15,129,86,0
Abcc1,181,407,0,0,0,0,360,5,16,351,26,703
Abcc10,1,4,0,0,2,13,4,2,29,52,2,302
Abcc12,0,0,0,0,0,0,51,0,0,0,0,0
Abcc2,0,0,0,0,0,0,0,0,0,0,0,0
Abcc3,0,0,0,0,0,0,0,0,0,0,0,0
Abcc4,123,80,2,1,0,0,0,1,2,0,7,457
Abcc5,1074,1311,376,114,409,619,1629,54,495,1644,678,2603
Abcc6,0,0,0,0,0,0,0,0,0,0,0,0
Abcc8,91,88,0,0,149,0,291,22,174,174,50,131
Abcc9,9,20,5,33,11,9,17,3,6,14,17,44
Abcd1,196,75,0,0,0,0,46,0,0,0,0,0
Abcd2,50,177,37,19,26,17,28,14,36,38,67,88
Abcd3,1353,733,8,164,13,199,102,123,18,17,1129,371
Abcd4,282,159,33,55,84,106,45,45,14,189,110,152
Abce1,1768,914,60,69,1422,396,1267,350,42,1395,164,913
Abcf1,509,478,11,450,1107,243,1290,52,552,587,491,538
Abcf2,1467,501,1,59,533,156,1576,15,1016,1282,1566,1025
Abcf3,396,996,322,1034,67,103,2068,128,980,887,434,2393
Abcg1,333,258,0,1,0,44,855,2,120,347,552,160
Abcg2,27,2,0,1,2,0,0,0,0,33,0,39
Abcg3,1,0,0,0,0,0,0,0,2,31,2,0
Abcg4,428,175,0,0,8,0,1069,1,44,223,0,299
Abcg5,0,0,0,0,0,0,0,0,0,0,0,2
Abcg8,0,0,0,0,0,0,0,0,0,0,0,0
Abhd1,0,8,0,0,0,0,0,0,0,15,0,24
Abhd10,153,241,2,354,2,4,600,165,0,152,20,3
Abhd11,268,73,0,0,0,0,273,0,0,0,0,158
Abhd12,1082,1307,6,142,613,948,3427,7,343,648,390,819
Abhd12b,0,0,0,0,364,0,3,0,0,0,0,0
Abhd13,208,15,0,9,3,237,305,17,435,139,39,4
Abhd14a,181,206,0,0,527,14,54,0,0,63,74,0
Abhd14b,161,209,0,0,560,0,17,4,0,0,515,6
Abhd15,6,2,0,599,8,140,5,1,13,8,6,14
Abhd16a,1004,886,0,2,466,188,1458,6,978,107,9,1551
Abhd16b,0,0,0,0,0,0,0,0,0,0,0,0
Abhd2,0,299,0,0,23,22,141,34,19,15,0,371
Abhd3,334,373,0,0,1,180,228,95,587,217,226,1094
Abhd4,0,18,0,3,0,4,22,0,0,116,62,124
Abhd5,164,25,0,0,42,49,0,1,0,1,147,0
Abhd6,1314,615,1,87,16,695,1308,334,690,588,323,825
Abhd8,374,301,75,82,623,8,1644,7,2,92,3,264
Abi1,1130,795,505,136,232,631,1660,99,467,937,35,781
Abi2,1166,1559,194,741,1273,849,2132,81,538,1734,169,326
Abi3,53,1,0,0,0,0,126,0,199,0,0,0
Abi3bp,0,0,0,0,1,0,9,0,0,0,34,2
Abl1,20,145,0,0,156,18,390,2,100,56,1,571
Abl2,535,565,12,191,1495,523,400,220,352,378,292,355
Ablim1,1579,769,2,12,194,296,851,168,10,607,506,1163
Ablim2,1418,722,28,5,63,769,1631,27,31,1214,286,763
Ablim3,148,211,1,1475,1,5,725,0,13,159,407,26
Abo,0,0,0,0,0,0,0,0,0,0,0,0
Abp1,0,0,0,0,0,0,0,0,1,0,0,0
Abr,4497,5468,983,2523,2762,4660,13004,529,4640,8172,1944,3342
Abra,0,0,0,0,0,0,0,0,0,4,0,0
Abracl,63,52,0,220,16,1,21,0,0,0,0,0
Abt1,1040,386,4,83,814,410,509,34,256,264,631,272
Abtb1,118,152,0,0,999,0,248,0,52,4,52,23
Abtb2,0,0,0,0,0,0,0,0,0,0,0,0
Acaa1a,391,315,2,12,509,90,379,47,324,68,159,245
Acaa1b,0,0,0,0,0,0,0,0,0,0,0,1
Acaa2,51,0,0,0,0,0,196,0,0,0,0,0
Acaca,127,262,0,127,0,157,147,9,0,8,4,778
Acacb,0,0,0,0,4,0,0,0,0,0,0,0
Acad10,72,32,0,0,83,2,0,0,0,10,0,55
Acad11,18,2,0,0,0,0,220,0,258,255,125,401
Acad12,0,0,0,0,0,0,0,0,0,0,0,0
Acad8,170,529,0,1,0,0,638,4,362,172,210,243
Acad9,818,1308,92,116,838,761,1619,95,304,483,542,1477
Acadl,119,9,71,46,0,179,0,0,0,204,3,0
Acadm,306,199,0,0,0,0,439,25,0,281,0,141
Acads,0,6,0,0,0,1,0,0,0,0,0,0
Acadsb,650,409,424,4,548,230,365,3,0,385,1812,705
Acadvl,350,882,0,0,0,626,382,86,849,1448,1386,2367
Acan,9,702,0,631,53,254,47,207,2164,245,870,322
Acap1,1,0,0,0,0,0,0,0,0,0,0,0
Acap2,1576,2354,1192,1075,899,2324,1830,134,1528,1430,1430,3612
Acap3,685,863,140,0,163,87,221,63,142,173,130,273
Acat1,772,604,26,0,0,553,774,75,372,491,275,97
Acat2,62,147,1,0,0,76,425,23,0,171,0,157
Acat3,12,0,0,0,0,0,0,0,0,0,0,0
Acbd3,12,210,23,16,1823,136,403,38,254,11,4,10
Acbd4,0,35,0,1,0,67,252,43,83,134,10,23
Acbd5,374,204,0,66,220,35,635,22,501,111,37,39
Acbd6,535,381,33,93,88,87,860,151,988,248,347,157
Acbd7,0,4,0,0,0,0,0,0,0,0,0,0
Accs,0,0,0,0,0,75,0,1,0,0,0,0
Accsl,0,0,0,0,0,0,0,0,0,0,0,1
Acd,672,638,103,0,3,402,1045,106,260,935,1045,1116
Ace,0,0,0,0,0,0,0,0,0,0,0,0
Ace2,0,0,0,0,0,0,7,0,36,0,0,0
Ace3,1,0,0,0,0,0,0,0,0,0,0,0
Acer1,16,16,5,8,9,5,6,5,19,21,57,28
Acer2,0,0,0,0,0,0,0,0,0,0,0,676
Acer3,465,176,50,0,1,185,364,47,68,46,422,83
Ache,17,0,0,0,0,1,2,2,0,0,0,0
Acin1,746,761,464,163,51,242,363,22,318,402,281,527
Acly,579,605,18,9,657,618,918,14,785,218,631,374
Acmsd,25,36,2,31,22,14,11,10,13,22,17,33
Acn9,99,141,0,0,0,68,55,0,0,0,82,0
Acnat1,58,77,2,0,31,66,27,27,109,44,78,172
Acnat2,0,0,0,0,0,0,0,0,0,0,0,0
Aco1,75,168,1,4,18,517,26,3,445,64,65,20
Aco2,2124,2484,168,326,817,367,1885,233,918,1686,1,847
Acot1,0,0,0,0,0,0,1,0,0,0,0,0
Acot10,0,0,0,3,0,0,0,0,0,0,0,0
Acot11,5,21,6,7,1,5,2,4,14,16,42,99
Acot12,0,0,0,0,0,0,0,0,0,0,0,0
Acot13,809,144,8,1,335,237,1353,17,281,66,370,277
Acot2,37,29,266,112,4,1,325,6,151,3,15,91
Acot3,158,116,0,1,0,0,170,0,0,1,0,225
Acot4,228,3,0,0,1,0,0,0,23,61,0,175
Acot5,78,41,0,18,0,0,160,4,0,70,0,0
Acot6,0,0,0,0,0,0,0,0,0,0,0,0
Acot7,2806,1914,49,16,1643,279,2836,136,2001,1740,645,864
Acot8,0,280,1,473,29,14,140,104,291,264,169,104
Acot9,172,5,43,642,645,145,66,1,17,10,0,0
Acox1,1131,250,506,1000,14,134,1643,48,162,579,386,163
Acox2,0,0,0,0,0,0,0,0,0,0,0,0
Acox3,188,22,0,0,19,0,0,0,0,2,49,0
Acoxl,0,2,0,0,0,0,0,0,0,0,144,0
Acp1,1576,750,2,709,57,735,1545,164,1046,268,533,348
Acp2,576,185,745,60,22,242,162,49,255,92,119,301
Acp5,0,0,0,0,0,0,0,0,0,0,0,0
Acp6,75,321,0,0,0,135,580,0,13,188,157,168
Acpl2,64,19,0,0,0,90,433,88,234,286,0,2
Acpp,0,0,0,0,0,0,0,0,0,0,0,0
Acpt,0,0,0,0,0,0,0,0,0,0,0,0
Acr,0,0,0,0,0,0,0,0,0,0,0,9
Acrbp,42,80,0,0,0,164,0,8,0,89,0,345
Acrv1,0,0,0,0,0,0,0,0,0,0,0,0
Acsbg1,1,203,0,0,0,203,8,0,0,0,0,0
Acsbg2,19,7,1,2,2,1,2,5,0,5,12,13
Acsf2,0,0,0,0,0,0,0,0,0,0,0,0
Acsf3,3,85,0,0,0,0,448,0,0,83,0,19
Acsl1,149,225,0,38,225,121,800,49,433,126,703,804
Acsl3,735,584,167,96,1755,16,447,241,135,192,713,462
Acsl4,213,395,128,21,36,156,873,126,22,267,13,22
Acsl5,1065,465,0,60,0,378,509,40,190,1005,0,227
Acsl6,414,437,166,258,37,105,948,53,335,481,143,1335
Acsm1,0,0,0,0,0,0,0,0,0,0,0,0
Acsm2,26,24,1,11,17,7,14,8,26,19,34,46
Acsm3,0,11,0,0,0,0,0,0,0,0,0,0
Acsm4,0,0,0,0,0,0,0,0,0,0,0,0
Acsm5,0,0,0,0,0,0,0,0,0,0,0,0
Acss1,6,135,0,0,4,0,0,1,554,0,1,0
Acss2,17,94,5,0,0,27,1,0,0,0,0,32
Acss3,0,3,0,0,0,0,0,1,0,0,0,0
Acta1,170,108,0,0,7,0,270,2,3,0,14,1
Acta2,0,0,0,0,0,0,1,0,1,1,0,0
Actb,20265,10337,4147,5949,17258,6750,40212,1739,10578,6747,3878,5433
Actbl2,0,0,0,0,0,0,0,7,0,0,0,0
Actc1,0,0,0,0,0,0,0,0,0,0,0,1
Actg1,6697,5383,358,1606,1818,2003,12989,728,6358,3235,5272,3502
Actg2,0,0,0,0,0,0,0,0,0,0,0,0
Actl10,0,0,0,0,0,0,0,0,0,0,0,0
Actl11,0,0,0,0,0,0,0,0,0,0,0,0
Actl6a,239,594,0,0,142,373,669,0,54,69,66,147
Actl6b,476,374,2,3,220,113,954,0,209,130,2,267
Actl7a,0,0,0,0,0,0,0,0,0,0,0,0
Actl7b,0,0,0,0,0,0,0,0,0,0,0,0
Actl9,0,0,0,0,0,0,0,0,0,0,0,0
Actn1,86,45,52,0,74,106,336,73,347,209,12,70
Actn2,121,85,13,18,4,74,438,10,112,255,72,299
Actn3,0,0,0,0,4,0,0,0,0,0,0,0
Actn4,24,1931,1270,49,258,394,1909,84,102,1177,31,968
Actr10,1100,998,289,89,704,483,1852,220,921,1287,350,295
Actr1a,2340,1353,80,468,590,453,2447,130,384,1535,1347,1905
Actr1b,1530,1998,153,4,286,226,3381,464,506,1478,2688,1343
Actr2,1381,1032,129,245,517,492,3839,247,1042,712,337,313
Actr3,1393,1188,3,1374,1684,400,2815,398,1217,457,49,696
Actr3b,335,318,0,0,1,167,565,20,21,182,75,28
Actr5,20,7,0,0,1,21,70,5,0,0,0,133
Actr6,76,108,1,52,1,127,157,10,0,248,4,94
Actr8,332,197,0,14,3,375,1394,62,0,337,517,625
Actrt1,0,0,0,0,0,0,0,0,0,0,0,0
Actrt2,0,0,0,0,0,0,0,0,0,0,0,0
Actrt3,0,0,0,0,0,0,0,0,0,0,0,0
Acvr1,395,240,1,94,1070,117,662,171,411,334,38,5
Acvr1b,59,14,1,0,1,0,105,0,0,0,0,0
Acvr1c,676,590,220,306,1639,518,1324,70,492,547,28,435
Acvr2a,341,560,10,0,1422,207,470,44,212,85,1274,780
Acvr2b,0,0,0,107,0,0,0,19,0,0,19,3
Acvrl1,0,0,1,0,0,0,0,0,0,0,0,0
Acy1,18,0,0,0,0,0,112,0,0,0,0,0
Acy3,0,0,0,0,0,0,0,0,0,0,16,0
Acyp1,70,34,1,1,19,29,55,0,53,12,100,0
Acyp2,154,13,0,96,0,28,96,36,445,17,6,1
Ada,4,47,0,0,0,9,0,0,47,0,0,22
Adad1,0,0,0,0,0,2,0,0,0,0,0,0
Adad2,0,0,0,0,0,0,0,0,0,0,0,0
Adal,1,207,0,2,0,1,21,14,2,36,0,0
Adam10,377,736,74,1,755,64,781,86,403,117,108,4
Adam11,448,655,10,9,17,2,1424,3,6,129,999,424
Adam12,0,2,0,0,0,0,16,0,0,3,0,0
Adam15,654,660,1,100,0,3,170,34,87,446,0,1112
Adam17,9,214,0,0,0,4,164,0,0,0,91,121
Adam18,0,0,0,0,0,0,0,0,0,0,0,1
Adam19,8,33,3,0,4,151,1,2,1,7,9,22
Adam1a,156,387,0,0,1,0,214,0,0,55,0,0
Adam1b,0,0,0,0,0,0,17,0,0,0,0,0
Adam2,0,0,0,0,0,0,0,1,0,0,0,0
Adam20,0,0,0,0,0,0,0,0,0,0,0,0
Adam21,8,162,0,0,0,0,0,0,0,0,0,0
Adam22,880,863,57,116,99,220,2733,5,316,298,489,1163
Adam23,329,191,0,2,27,18,351,42,100,158,621,40
Adam24,0,0,0,0,0,0,0,0,0,0,0,0
Adam25,0,0,0,0,0,0,0,0,0,0,0,0
Adam26a,0,0,0,0,0,0,0,0,0,0,0,0
Adam26b,0,0,0,0,0,0,0,0,0,0,0,0
Adam28,46,56,8,13,37,20,54,1,4,61,52,104
Adam29,0,0,0,0,0,0,0,0,0,0,0,0
Adam3,0,0,0,0,0,0,0,0,0,0,0,0
Adam30,0,0,0,0,0,0,0,0,0,0,0,0
Adam32,0,0,0,0,0,0,0,0,0,0,31,6
Adam33,0,0,0,0,0,0,0,0,0,0,0,0
Adam34,0,0,0,0,0,0,0,0,0,0,0,0
Adam39,0,0,0,0,0,2,0,0,0,0,0,0
Adam4,72,17,0,0,0,6,0,0,0,0,0,406
Adam5,0,0,0,0,0,0,0,0,0,8,0,0
Adam6a,0,0,0,0,0,0,0,0,0,0,0,0
Adam6b,0,0,0,0,0,0,0,0,0,0,0,0
Adam7,0,0,0,0,0,0,0,0,0,0,0,0
Adam8,2,66,0,0,0,217,195,0,0,2,2,0
Adam9,174,470,0,2,56,31,525,21,68,484,651,63
Adamdec1,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,9,11,0,0,0,0,100,0,9,1,0,10
Adamts10,0,241,0,14,0,0,277,0,0,4,43,255
Adamts12,0,0,0,0,0,0,0,0,1,0,0,0
Adamts13,0,0,0,0,0,0,38,0,0,0,2,0
Adamts14,3,3,5,0,1,2,1,2,2,1,13,5
Adamts15,5,69,0,10,14,1,32,0,2,24,13,28
Adamts16,0,0,0,0,0,0,0,0,0,0,0,0
Adamts17,121,220,2,2,30,4,102,3,1,101,126,54
Adamts18,0,157,0,0,0,0,27,0,0,45,0,96
Adamts19,0,0,0,0,0,18,0,4,0,2,2,0
Adamts2,0,0,0,0,0,0,0,0,0,0,0,0
Adamts20,97,9,0,15,0,106,263,61,2,8,27,18
Adamts3,135,336,1,5,2,177,367,112,459,153,48,528
Adamts4,0,0,0,0,0,0,0,2,0,1,0,0
Adamts5,0,9,3,0,21,0,0,0,0,6,0,0
Adamts6,0,0,0,0,0,0,0,1,0,0,0,29
Adamts7,0,0,0,0,0,0,0,0,0,0,0,0
Adamts8,0,1,0,0,0,0,185,0,0,1,0,0
Adamts9,0,0,0,0,0,0,0,0,27,7,0,8
Adamtsl1,0,0,0,0,0,0,0,1,0,0,0,0
Adamtsl2,68,8,0,1,0,81,327,0,0,3,0,0
Adamtsl3,0,0,0,0,0,0,0,1,0,0,0,1
Adamtsl4,0,4,0,0,1,2,0,0,0,0,0,0
Adamtsl5,0,0,0,0,0,0,0,0,0,0,0,0
Adap1,26,177,48,0,0,156,45,1,105,265,17,20
Adap2,0,0,0,0,0,154,118,0,0,0,0,84
Adar,522,1288,25,9,695,611,1101,114,338,296,1614,765
Adarb1,243,544,49,3,343,241,638,36,22,85,96,179
Adarb2,754,367,49,190,0,211,342,15,0,361,206,778
Adat1,68,193,1,2,3,1,0,0,12,3,3,3
Adat2,0,37,0,0,0,0,195,0,0,65,163,0
Adat3,157,0,118,0,5,2,0,48,0,0,346,109
Adc,0,88,0,31,0,0,133,0,0,1,0,0
Adck1,242,241,2,13,0,0,180,0,87,46,3,161
Adck2,28,392,0,1,0,45,0,0,0,6,1,1
Adck3,177,127,0,20,0,28,903,1,0,1,348,320
Adck4,179,229,713,0,0,124,0,1,0,31,0,535
Adck5,333,327,12,0,0,163,470,0,0,1164,892,1620
Adcy1,1562,1469,386,78,401,925,1838,264,1717,1038,680,763
Adcy10,16,35,0,0,0,7,0,12,0,0,0,0
Adcy2,984,103,390,0,7,0,355,109,0,118,91,290
Adcy3,275,498,0,86,0,27,335,10,0,41,0,65
Adcy4,0,0,0,0,0,0,0,0,0,0,0,0
Adcy5,29,22,0,19,0,98,0,0,72,0,0,1
Adcy6,14,193,1,0,0,13,450,54,640,1,470,148
Adcy7,0,3,0,1,0,0,0,0,0,3,0,2
Adcy8,457,1334,1983,147,9,18,650,173,0,616,109,813
Adcy9,51,109,1,23,2,319,145,109,370,357,14,248
Adcyap1,0,0,0,0,0,0,0,0,0,0,0,0
Adcyap1r1,1279,979,2,9,10,5,1388,75,610,81,761,584
Add1,1744,1918,978,581,424,533,2050,204,838,609,1320,1685
Add2,2377,1881,33,591,1130,366,2119,517,329,681,426,292
Add3,202,349,85,3,61,180,365,6,499,286,306,25
Adgb,66,0,0,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0
Adh4,1,0,0,0,0,0,0,0,0,0,0,0
Adh5,482,585,1,1,843,1,773,4,337,208,0,255
Adh6-ps1,10,4,12,1,4,21,3,1,4,5,7,19
Adh6a,0,0,0,0,0,0,0,0,0,0,0,0
Adh7,0,0,0,0,0,0,0,0,0,0,0,0
Adhfe1,166,0,0,0,0,0,38,1,2,0,0,0
Adi1,62,184,0,180,0,181,204,0,108,6,4,72
Adig,0,0,0,0,0,0,0,0,0,0,0,0
Adipoq,0,0,0,0,0,0,0,0,0,0,0,0
Adipor1,445,456,7,6,76,297,302,87,342,535,237,323
Adipor2,550,158,3,23,145,2,7,10,46,30,0,223
Adk,333,18,1159,1,64,21,1358,0,1156,316,1,42
Adm,0,0,0,0,0,0,0,2,2,0,0,2
Adm2,0,0,0,0,0,0,0,0,0,0,0,0
Adnp,295,914,700,10,570,304,305,48,333,435,22,506
Adnp2,741,93,0,0,0,0,127,1,1,15,0,12
Ado,56,716,0,46,760,0,212,11,580,104,389,547
Adora1,514,519,1,76,225,183,996,27,700,185,29,304
Adora2a,0,0,0,0,0,0,0,0,0,0,0,0
Adora2b,0,0,0,0,0,0,0,0,0,0,0,0
Adora3,0,0,0,0,0,0,0,0,0,0,74,16
Adpgk,14,162,0,1,0,259,432,65,82,40,2,2
Adprh,666,289,74,6,751,206,668,1,68,34,0,7
Adprhl1,0,0,0,0,0,0,0,0,0,7,0,0
Adprhl2,184,897,0,1,0,328,513,0,176,590,42,0
Adprm,1,164,0,0,1,203,183,0,0,186,0,386
Adra1a,0,0,0,0,56,0,18,0,0,0,20,0
Adra1b,8,8,1,1,2,5,83,5,0,6,18,11
Adra1d,112,78,0,2,5,11,277,0,123,35,7,0
Adra2a,0,0,0,0,0,0,0,59,0,49,0,3
Adra2b,2,8,0,2,2,3,0,51,13,5,5,35
Adra2c,45,3,0,0,450,16,0,0,0,1,0,0
Adrb1,0,0,0,26,19,0,100,0,80,2,69,149
Adrb2,0,0,0,0,0,20,0,0,0,0,0,0
Adrb3,0,0,0,0,0,0,0,0,1,0,0,0
Adrbk1,587,683,1,59,748,37,259,16,583,169,282,556
Adrbk2,199,219,9,18,7,173,293,0,213,603,8,2110
Adrm1,1404,2009,743,178,907,744,1941,363,1397,1318,247,474
Adsl,62,406,3,410,11,182,1061,17,526,414,32,190
Adss,443,578,1,24,25,130,516,30,38,523,0,357
Adssl1,0,0,0,0,0,0,0,0,3,0,0,0
Adtrp,16,14,2,8,9,5,3,1,13,11,21,21
Aebp1,0,0,0,0,0,1,0,0,31,0,0,6
Aebp2,310,39,11,0,4,57,110,89,86,6,980,397
Aen,0,498,0,0,0,113,98,60,118,569,937,0
Aes,656,288,2,86,729,6,840,63,494,119,87,243
Afap1,432,515,189,247,470,4,236,6,530,94,13,20
Afap1l1,0,1,0,0,2,0,0,0,0,0,0,0
Afap1l2,0,1,0,0,0,3,0,0,0,0,0,0
Aff1,93,67,22,351,766,3,192,65,0,463,522,94
Aff2,0,6,0,3,1,0,294,0,0,0,52,0
Aff3,252,562,0,575,496,216,14,190,168,15,136,231
Aff4,511,1251,532,318,669,712,2037,184,177,365,117,813
Afg3l1,71,131,0,2,3,299,286,2,339,199,9,928
Afg3l2,246,1738,1004,497,99,731,1263,58,993,523,105,926
Afm,0,0,0,0,0,0,0,0,0,0,0,0
Afmid,30,88,0,0,0,0,0,0,0,13,0,60
Afp,14,0,0,10,0,0,0,0,131,0,0,0
Aftph,282,635,194,166,67,583,394,25,250,869,946,678
Aga,5,0,0,0,0,0,249,0,0,117,2,0
Agap1,344,686,13,617,42,137,1629,60,629,430,219,687
Agap2,210,86,6,16,50,64,37,45,52,81,27,390
Agap3,723,574,31,12,331,119,511,71,237,292,183,37
Agbl1,0,10,0,0,0,0,0,0,0,0,2,0
Agbl2,0,1,0,0,0,0,198,0,0,0,0,0
Agbl3,38,4,0,0,0,0,0,0,0,0,0,35
Agbl4,0,12,0,0,0,72,0,0,0,0,0,11
Agbl5,126,158,0,0,0,0,0,0,17,2,0,233
Ager,0,0,0,0,0,0,0,0,0,0,0,0
Agfg1,15,35,374,39,98,233,11,0,101,4,69,329
Agfg2,912,312,2,4,0,0,729,36,267,135,104,345
Aggf1,584,505,7,11,3,236,273,9,331,177,4,214
Agk,348,294,0,813,69,38,233,27,3,104,0,584
Agl,466,445,89,151,213,244,68,28,62,234,622,268
Agmat,0,0,0,0,0,1,129,0,0,0,0,0
Agmo,0,0,0,0,0,0,234,0,0,0,0,0
Agpat1,386,175,75,35,20,197,744,71,302,134,13,197
Agpat2,28,0,0,0,0,0,0,0,0,0,0,0
Agpat3,268,142,445,24,513,389,295,0,2,48,2,310
Agpat4,715,642,2,498,73,153,1288,55,664,540,146,1146
Agpat5,54,24,20,242,218,50,85,13,103,196,162,46
Agpat6,667,1621,18,679,802,96,1798,61,57,1087,24,1628
Agpat9,0,0,0,0,0,0,0,0,0,0,0,0
Agphd1,27,27,9,17,25,18,28,5,10,16,58,115
Agps,293,192,1,10,12,97,214,29,537,24,0,1079
Agr2,0,0,0,0,0,0,0,0,0,0,1,0
Agr3,0,0,0,0,0,0,0,0,0,0,0,0
Agrn,119,475,0,0,1229,0,511,3,18,261,6,156
Agrp,0,0,0,0,0,0,0,0,0,0,0,0
Agt,81,0,3,1,7,1,0,0,100,139,105,2
Agtpbp1,449,754,168,571,11,341,1775,158,492,292,678,807
Agtr1a,0,9,0,0,0,0,0,0,0,0,0,0
Agtr1b,0,0,0,0,0,0,0,0,0,0,0,0
Agtr2,0,0,0,0,0,0,0,0,0,0,0,0
Agtrap,10,24,5,10,11,15,20,5,9,10,41,32
Agxt,0,0,0,0,0,0,0,0,24,0,0,0
Agxt2,0,0,0,0,0,0,18,0,0,0,0,0
Agxt2l1,0,30,0,169,0,0,0,0,0,0,0,1
Agxt2l2,0,71,0,81,0,12,19,1,274,5,0,0
Ahctf1,229,658,434,31,19,33,389,86,784,316,2,299
Ahcy,382,152,0,0,0,217,733,39,370,423,0,8
Ahcyl1,545,869,111,616,946,585,678,502,394,916,154,2051
Ahcyl2,247,907,1,522,114,375,989,203,76,635,166,742
Ahdc1,55,178,34,22,38,4,57,38,109,58,7,7
Ahi1,3111,2351,718,449,2947,1721,3292,335,839,654,3667,3066
Ahnak,1,0,5,0,9,2,0,15,14,4,3,1
Ahr,87,0,0,0,4,1,0,8,0,10,0,75
Ahrr,0,0,0,0,0,0,0,0,0,0,0,0
Ahsa1,2623,1262,177,702,132,356,4361,101,1198,1219,469,1151
Ahsa2,205,308,0,0,0,44,343,57,385,354,263,406
Ahsg,0,0,0,0,0,0,0,0,0,0,0,0
Aicda,0,0,0,0,0,0,0,0,0,0,0,0
Aida,381,73,11,31,62,18,195,15,201,22,38,136
Aif1,36,38,441,21,1552,376,175,0,236,0,286,151
Aif1l,0,0,0,0,0,0,0,0,0,0,0,0
Aifm1,48,237,0,3,173,41,441,39,1,246,0,90
Aifm2,10,0,0,0,0,0,0,0,0,0,0,0
Aifm3,91,222,0,0,0,0,173,0,1,107,654,164
Aig1,257,97,0,0,0,0,103,0,0,82,0,315
Aim1,0,8,0,0,0,0,0,0,0,13,0,0
Aim1l,23,37,0,0,2,0,2,0,37,0,0,86
Aim2,92,107,38,8,56,52,47,25,53,65,120,190
Aimp1,463,535,12,41,610,105,895,41,293,287,146,170
Aimp2,140,84,0,0,13,83,746,3,0,139,60,124
Aip,663,290,2,547,25,12,1224,1,43,185,35,501
Aipl1,0,0,0,0,0,0,0,0,0,0,0,0
Aire,0,0,0,0,0,0,0,0,0,0,0,0
Airn,80,92,0,16,421,396,160,42,2,408,558,329
Ajap1,62,22,9,243,0,0,1,0,0,1,0,0
Ajuba,9,7,3,3,2,1,3,3,17,4,3,179
Ak1,713,747,0,146,728,4,1195,0,3,473,413,520
Ak2,417,122,10,286,0,0,79,0,269,195,23,475
Ak3,22,302,16,58,201,16,655,0,9,132,9,334
Ak4,339,28,1,0,2,2,448,0,0,0,0,0
Ak5,2050,1740,210,93,488,200,4110,23,150,86,372,546
Ak7,0,0,0,0,0,0,0,0,0,0,0,0
Ak8,0,0,1,0,0,0,0,0,0,0,0,0
Akap1,18,13,0,88,0,4,236,0,3,8,88,17
Akap10,38,16,2,78,0,0,185,5,9,240,894,40
Akap11,2692,2363,2212,780,953,911,3823,371,760,1811,140,1983
Akap12,10,1,0,17,0,0,0,9,0,1,0,1
Akap13,774,1261,252,63,15,1086,894,130,711,1067,599,1970
Akap14,0,65,0,0,0,0,0,1,0,0,1,457
Akap17b,305,200,7,1,945,191,319,21,8,11,0,441
Akap2,347,281,4,20,101,26,20,112,40,320,349,706
Akap3,0,54,0,0,0,0,0,0,0,0,0,0
Akap4,0,0,0,0,0,0,0,0,0,0,0,0
Akap5,885,151,1150,803,2687,126,1019,227,1229,460,337,974
Akap6,807,1102,9,680,21,10,677,53,512,678,1546,2038
Akap7,472,233,129,2,0,202,944,63,833,239,2,72
Akap8,1238,932,55,1361,169,337,373,291,148,935,317,2376
Akap8l,2423,2419,29,1042,719,835,1852,173,1681,2263,2353,3389
Akap9,828,1666,674,399,178,561,2098,47,783,503,1110,1543
Akip1,87,73,0,299,0,0,226,0,0,0,42,0
Akirin1,236,1258,3,19,212,235,1066,49,118,202,186,313
Akirin2,490,389,33,380,215,87,797,170,282,351,82,426
Akna,2,5,1,0,0,1,405,1,4,2,4,12
Aknad1,8,0,0,0,0,0,0,2,0,16,0,0
Akp3,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,5351,2914,4,1770,3198,1593,7156,864,2634,2476,602,411
