,GSM3690854_NG03_htseq,GSM3690874_NG09_htseq,GSM3690872_NG13_htseq,GSM3690862_NG04_htseq,GSM3690870_NG11_htseq,GSM3690873_NG14_htseq,GSM3690871_NG12_htseq,GSM3690860_NG06_htseq,GSM3690853_NG01_htseq,GSM3690861_NG07_htseq,GSM3690859_NG05_htseq,GSM3690869_NG10_htseq
1110028F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,14,0,130,824,98,331,16,104,6,1653,532,600
1110032F04Rik,0,0,1,23,0,0,0,0,0,0,0,0
1110034G24Rik,101,665,133,0,405,123,0,339,148,216,0,336
1110035M17Rik,86,0,0,0,26,104,0,0,0,123,117,25
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110037F02Rik,291,45,1528,646,492,395,57,256,743,670,409,92
1110038B12Rik,212,0,54,305,9,359,2,3,4,130,0,14
1110038F14Rik,55,926,302,179,248,281,23,0,437,1275,272,504
1110046J04Rik,20,6,6,29,5,28,5,11,11,46,4,75
1110051M20Rik,43,70,545,1065,681,977,4,66,1254,1040,13,1467
1110054M08Rik,0,0,0,0,40,0,0,28,0,6,0,0
1110057K04Rik,66,46,468,22,321,346,74,632,983,641,42,602
1110058L19Rik,112,7,138,254,299,273,362,775,566,1112,922,173
1110059E24Rik,32,180,299,752,372,97,32,109,396,159,1007,1519
1110059G10Rik,15,447,80,460,167,203,0,179,367,529,201,176
1110059M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1110065P20Rik,0,0,28,190,76,52,31,28,4,537,281,82
1190002F15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1190002N15Rik,10,52,62,0,4,176,0,3,10,0,4,2
1190003J15Rik,0,0,0,0,0,17,10,0,0,0,0,0
1190003K10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1190005I06Rik,0,435,0,0,68,0,0,0,42,0,0,34
1190007I07Rik,44,4,46,49,236,74,67,66,155,28,57,42
1200011I18Rik,131,18,229,518,451,386,18,122,353,677,390,935
1200014J11Rik,279,811,348,667,261,604,216,571,298,277,205,515
1300002E11Rik,55,0,82,0,39,0,16,81,26,0,0,47
1300002K09Rik,0,0,239,0,0,0,0,0,0,0,0,0
1300015D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1300017J02Rik,0,0,0,0,0,28,0,0,0,0,0,0
1300018J18Rik,0,0,25,0,287,59,0,175,154,285,0,458
1500002O10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500004A13Rik,330,1,327,3,35,90,0,3,94,403,65,126
1500009C09Rik,65,735,359,46,280,141,1,326,100,236,2,606
1500009L16Rik,3,1,0,57,408,114,0,35,78,214,0,355
1500011B03Rik,141,1680,1079,790,2636,1066,237,671,436,4008,747,2185
1500011K16Rik,167,239,114,419,566,434,10,136,360,750,809,262
1500012F01Rik,141,2,153,245,116,96,140,152,331,110,77,95
1500012K07Rik,11,8,3,3,3,3,5,10,13,6,0,13
1500015A07Rik,36,1,35,1,426,307,33,0,0,0,0,224
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,0,3,0,0,0,0,0,0,0
1500016L03Rik,1,0,0,0,0,0,0,0,0,0,2,0
1500017E21Rik,0,0,0,0,0,26,0,0,0,0,0,0
1500032L24Rik,133,1225,297,1393,970,615,198,707,713,2290,2546,632
1600002D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600002H07Rik,14,17,9,32,238,19,140,60,20,527,38,113
1600002K03Rik,0,0,15,0,0,3,0,0,61,0,188,60
1600010M07Rik,2,0,1,0,13,7,3,0,2,90,1,3
1600012H06Rik,35,756,8,0,8,234,5,269,345,397,0,488
1600014C10Rik,49,0,660,1274,1146,103,142,149,287,670,382,756
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600014K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600016N20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,248,0,169,516,0,43,0,0,140,274,419,148
1600023N17Rik,0,0,0,0,0,0,0,0,0,126,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029D21Rik,9,2,12,11,1,8,7,9,6,6,3,12
1600029I14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1600029O15Rik,20,7,12,37,2,83,5,31,15,12,13,19
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,2,0,0,0,0,0,0,0,1,0,0,0
1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,0,0,0,0,0,14,0,0,0,0,0,0
1700001G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700001J11Rik,0,0,21,0,0,0,0,0,4,0,0,0
1700001K19Rik,0,0,11,0,0,0,0,0,0,1,0,0
1700001K23Rik,0,0,0,0,0,0,0,0,47,0,0,0
1700001L05Rik,0,0,0,0,1196,166,0,0,3,0,0,0
1700001L19Rik,0,24,1,0,0,0,63,0,93,188,0,71
1700001O22Rik,0,0,101,0,69,0,0,514,0,0,0,0
1700001P01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003C15Rik,0,0,0,0,0,0,0,12,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003E16Rik,1,174,112,172,105,161,0,1,131,0,477,131
1700003F12Rik,0,0,0,0,0,0,0,0,5,0,0,0
1700003F17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,14,0,0,0,0,0,0
1700003M02Rik,0,0,0,8,0,0,0,0,0,0,0,0
1700003M07Rik,224,390,102,449,123,59,49,68,163,380,92,69
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,41
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,90,0,0,0,0,0,0,0,1,1
1700007F19Rik,0,0,0,0,0,0,0,0,11,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007J10Rik,72,92,66,131,51,116,37,88,98,45,69,55
1700007K09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007K13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700007L15Rik,0,0,0,0,0,0,0,6,0,0,0,0
1700007P06Rik,7,0,5,0,19,6,0,0,15,0,4,0
1700008A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008F21Rik,0,0,0,0,0,0,0,0,0,0,0,7
1700008I05Rik,0,0,0,0,0,0,0,0,0,0,16,0
1700008J07Rik,0,565,19,65,20,13,0,6,23,187,220,334
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,31,17,7,323,34,16,34,167,15,74,33,29
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700009P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,5,12,2,7,1,6,4,14,5,8,2,2
1700010I14Rik,29,0,0,0,0,0,0,0,0,0,0,4
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,4,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011J10Rik,74,244,20,75,82,44,149,18,278,472,612,110
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012B15Rik,140,0,84,88,179,132,13,2,153,340,0,143
1700012D01Rik,0,7,0,0,0,0,9,0,0,0,0,0
1700012D14Rik,0,0,0,0,1,3,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,273,0,0,0,0,0,0,0,0
1700013G23Rik,0,0,0,0,0,27,0,0,18,98,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,0,0,0,239,0,0,0,0,0,0,0,9
1700015F17Rik,0,0,0,0,0,0,0,0,0,0,0,30
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016D06Rik,40,0,10,11,6,21,13,26,57,5,5,8
1700016G22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016H13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,4,0,0,0,0,0,0,0,0,0,0,0
1700016L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,111,0,1,0,476,0,0,402,510,5,299,10
1700017D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,0,7,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,13,0,0,1,0,196,0
1700018L02Rik,32,0,0,0,0,0,0,0,0,0,0,4
1700019A02Rik,0,0,0,0,0,0,0,37,0,0,0,0
1700019B03Rik,0,0,0,0,0,0,0,0,0,0,0,23
1700019B21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,8,0,0,0,54,124,81,0,68,0,232,87
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,6,0,0,21,0,0,0,0,0
1700019L03Rik,1,0,0,0,0,0,0,0,0,0,0,34
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020D05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700020I14Rik,203,134,361,677,231,611,106,297,223,1228,650,808
1700020L24Rik,34,0,0,0,0,0,0,0,0,0,324,0
1700020M21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021F05Rik,56,120,88,33,457,290,6,462,280,736,63,358
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700021K19Rik,51,252,466,905,1171,221,2,157,101,183,96,1764
1700021N21Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700022A22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,2,0,0,0,0,0,2
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700022P22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023A16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023E05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700023F06Rik,0,0,0,0,1,0,0,14,0,0,7,0
1700023L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024B18Rik,0,110,33,26,0,0,5,3,0,0,0,0
1700024F13Rik,0,0,0,0,16,20,0,0,0,0,32,0
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024P03Rik,2,0,0,5,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700024P16Rik,0,0,0,0,22,0,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025E21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0,55
1700025G04Rik,262,46,678,3801,625,1122,59,925,1278,1595,1271,440
1700025K24Rik,1,0,0,0,0,0,0,0,5,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,32,53,113,63,63,127,69,95,66,57,45,79
1700026D08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026D11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700026L06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,4,0,0,0,0,0,0,0
1700028D13Rik,1,0,1,0,0,0,0,0,0,0,0,0
1700028E10Rik,0,0,0,0,0,10,0,0,0,17,0,0
1700028I16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028J19Rik,0,0,0,0,159,0,0,0,0,0,59,0
1700028K03Rik,8,0,55,0,0,12,30,7,102,0,0,122
1700028M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0,0,0,125,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,0,1,0,1,0,0,0,2,0,0,0
1700029H14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029I15Rik,0,0,35,0,0,30,0,48,10,1,0,17
1700029J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,2,1,5,2,252,137,3,20,42,3,2,7
1700029M20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030C10Rik,9,0,9,118,4,14,0,0,3,39,0,1
1700030F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030F18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030J22Rik,1,0,0,0,152,0,0,0,0,26,0,201
1700030K09Rik,0,225,123,0,229,21,0,94,516,0,12,269
1700030L20Rik,1,0,0,0,0,1,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034F02Rik,0,0,0,0,0,12,0,0,0,0,0,0
1700034G24Rik,2,0,0,0,0,0,0,0,0,64,6,0
1700034H15Rik,20,21,134,37,7,48,14,31,49,5,40,67
1700034I23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034J05Rik,0,0,0,0,15,0,0,0,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700034P13Rik,0,0,0,0,1,0,0,0,3,0,0,0
1700036G14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,0,122,105,289,0,48,0,0,0,167,0,78
1700037H04Rik,2,102,65,522,487,15,2,347,268,229,349,929
1700039E15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700040L02Rik,0,0,0,0,0,136,0,0,0,0,0,81
1700040N02Rik,0,0,0,0,37,0,0,0,0,0,16,0
1700041C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042B14Rik,0,0,0,0,0,0,0,45,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,29,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700045I19Rik,0,0,0,0,169,5,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047E10Rik,30,18,2,6,51,17,3,13,32,6,3,7
1700047G03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047I17Rik2,0,0,0,0,0,0,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0,0,12,0,0,0
1700048M11Rik,0,0,2,0,0,0,0,0,0,0,0,0
1700048O20Rik,60,35,58,64,29,41,57,80,65,477,8,64
1700049E15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700049G17Rik,15,2,413,1,19,432,0,1,93,0,27,107
1700049L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,2,0,0,0,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700052K11Rik,10,0,75,18,286,50,0,198,6,0,0,114
1700052N19Rik,342,122,140,192,974,118,0,234,168,522,0,118
1700054A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,7,0,0,0,0,0,0,0
1700054O13Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700055N04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700056E22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700057G04Rik,0,0,0,0,0,0,0,1,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700058G18Rik,0,0,27,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700061G19Rik,0,0,0,0,11,20,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,52,38,11,20,38,52,9,21,30,17,10,20
1700063O14Rik,0,0,0,0,0,0,0,53,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065D16Rik,0,0,0,0,0,4,0,0,0,0,0,0
1700065I16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,2,0,0,0,104,0,0
1700065O20Rik,0,0,0,0,22,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066B19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066J24Rik,0,0,4,0,0,42,1,0,0,0,2,0
1700066M21Rik,0,1,230,0,78,409,1,100,79,633,0,147
1700066N21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,9,0,0,0,0,0,0,0
1700067K01Rik,0,0,0,0,0,0,0,9,21,0,0,0
1700067P10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,12,0,0,0,0,0,0,1,0,0,0,0
1700071M16Rik,0,0,0,0,0,0,0,0,30,187,0,34
1700072B07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,200,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,1,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0,0,0,0,0,1
1700080E11Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,130,231,85,131,8,119,16,0,56,95
1700080O16Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700081H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084C01Rik,0,0,0,0,0,119,0,0,0,1,0,46
1700084E18Rik,0,0,0,0,0,12,0,0,0,0,0,0
1700084F23Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085B03Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700086L19Rik,0,490,308,0,436,800,281,530,336,980,810,158
1700086O06Rik,4,447,53,429,202,67,1,1,144,156,7,153
1700088E04Rik,0,0,7,0,16,0,0,0,2,0,0,35
1700091E21Rik,0,0,2,0,0,0,0,0,11,0,0,0
1700091H14Rik,0,60,1,2,62,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,3,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700092M07Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700093K21Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700094D03Rik,37,227,35,49,179,231,59,148,179,9,13,74
1700094J05Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700094M24Rik,0,0,0,0,0,0,0,0,0,0,0,0
