,GSM3690885_NS_NG18_htseq,GSM3690888_NS_NG21_htseq,GSM3690886_NS_NG19_htseq,GSM3690887_NS_NG20_htseq
1700007G11Rik,0,0,0,0
1700007J10Rik,78,73,131,77
1700007K09Rik,0,0,0,0
1700007K13Rik,0,0,0,0
1700007L15Rik,0,0,0,0
1700007P06Rik,0,28,0,2
1700008A04Rik,0,0,0,0
1700008F21Rik,0,0,0,0
1700008I05Rik,0,0,1,0
1700008J07Rik,0,0,0,58
1700008K24Rik,0,0,0,0
1700008O03Rik,16,0,5,9
1700008P02Rik,0,0,0,0
1700009C05Rik,0,0,0,0
1700009J07Rik,0,0,0,0
1700009N14Rik,0,0,0,0
1700009P17Rik,0,0,0,0
1700010B08Rik,0,0,0,0
1700010D01Rik,0,0,0,0
1700010I02Rik,6,2,5,1
1700010I14Rik,0,0,0,0
1700010J16Rik,0,0,0,0
1700010K23Rik,0,0,0,0
1700011A15Rik,0,0,0,0
1700011B04Rik,0,0,0,0
1700011E24Rik,0,0,0,0
1700011H14Rik,0,0,0,0
1700011I03Rik,0,0,0,0
1700011J10Rik,98,341,561,433
1700011L22Rik,0,0,0,0
1700011M02Rik,0,0,0,0
1700012A03Rik,0,0,0,0
1700012B07Rik,0,0,0,0
1700012B09Rik,0,0,0,0
1700012B15Rik,0,48,0,0
1700012D01Rik,0,0,0,0
1700012D14Rik,0,0,0,0
1700012I11Rik,0,0,0,0
1700012L04Rik,0,0,0,0
1700012P22Rik,0,0,0,0
1700013D24Rik,0,0,0,0
1700013F07Rik,0,0,0,0
1700013G23Rik,0,72,0,0
1700013G24Rik,0,0,0,0
1700013H16Rik,0,0,0,0
1700015E13Rik,0,0,0,0
1700015F17Rik,0,0,0,0
1700015G11Rik,0,0,0,0
1700016C15Rik,0,0,0,0
1700016D06Rik,0,2,2,0
1700016G22Rik,0,0,0,0
1700016H13Rik,0,0,0,0
1700016K19Rik,0,0,0,0
1700016L04Rik,0,0,0,0
1700016L21Rik,0,0,0,0
1700016P04Rik,0,0,0,0
1700017B05Rik,9,0,0,0
1700017D01Rik,0,0,0,0
1700017G19Rik,0,0,0,0
1700017J07Rik,0,0,0,0
1700017N19Rik,0,0,0,0
1700018A04Rik,0,0,0,0
1700018B08Rik,0,0,0,0
1700018B24Rik,0,0,0,0
1700018C11Rik,0,0,0,0
1700018F24Rik,0,0,0,0
1700018G05Rik,0,0,0,0
1700018L02Rik,0,0,0,0
1700019A02Rik,0,0,0,0
1700019B03Rik,0,0,0,0
1700019B21Rik,0,0,0,0
1700019D03Rik,0,261,0,275
1700019E08Rik,0,0,0,0
1700019G17Rik,0,326,0,1
1700019G24Rik,0,0,0,0
1700019L03Rik,0,0,0,0
1700019M22Rik,0,0,0,0
1700019N19Rik,0,0,0,0
1700019O17Rik,0,0,0,0
1700020A23Rik,0,0,0,0
1700020D05Rik,0,0,0,0
1700020G17Rik,0,0,0,0
1700020I14Rik,12,381,284,67
1700020L24Rik,0,0,0,0
1700020M21Rik,0,0,0,0
1700020N01Rik,0,0,0,0
1700020N15Rik,0,0,0,0
1700020N18Rik,0,0,0,0
1700021F05Rik,911,187,0,302
1700021F07Rik,0,0,0,0
1700021K19Rik,0,277,7,0
1700021N21Rik,0,0,0,0
1700022A21Rik,0,0,0,0
1700022A22Rik,0,0,0,0
1700022E09Rik,0,0,0,0
1700022H16Rik,0,0,0,0
1700022I11Rik,0,0,0,0
1700022P22Rik,0,0,0,0
1700023A16Rik,0,0,0,0
1700023C21Rik,0,0,0,0
1700023E05Rik,0,0,0,0
1700023F02Rik,0,0,0,0
1700023F06Rik,6,12,0,0
1700023L04Rik,0,0,0,0
1700024B18Rik,0,0,0,0
1700024F13Rik,0,0,0,0
1700024G13Rik,0,0,0,0
1700024P03Rik,0,8,0,0
1700024P04Rik,0,0,0,0
1700024P16Rik,0,0,0,0
1700025B11Rik,0,0,0,0
1700025C18Rik,0,0,0,0
1700025E21Rik,0,0,0,0
1700025F22Rik,0,37,0,0
1700025F24Rik,0,0,0,0
1700025G04Rik,386,1,444,467
1700025K24Rik,0,0,0,0
1700025M24Rik,0,0,0,0
1700025N23Rik,0,50,14,20
1700026D08Rik,0,0,0,0
1700026D11Rik,0,0,0,0
1700026F02Rik,0,0,0,0
1700026L06Rik,0,0,0,0
1700027A15Rik,0,0,0,0
1700027F09Rik,0,0,0,0
1700027H10Rik,0,0,0,0
1700027I24Rik,0,0,0,0
1700027J07Rik,0,0,0,0
1700028B04Rik,0,0,0,0
1700028D13Rik,0,0,0,0
1700028E10Rik,0,0,0,0
1700028I16Rik,0,0,0,0
1700028J19Rik,0,0,0,0
1700028K03Rik,0,60,0,0
1700028M03Rik,0,0,0,0
1700028P14Rik,0,7,0,0
1700028P15Rik,0,0,0,0
1700029B22Rik,0,0,0,0
1700029F12Rik,0,0,0,0
1700029H14Rik,0,0,0,0
1700029I15Rik,0,0,0,0
1700029J03Rik,0,0,0,0
1700029J07Rik,4,0,3,1
1700029M20Rik,0,0,0,0
1700029N11Rik,0,0,0,0
1700029P11Rik,0,0,0,0
1700030A11Rik,0,0,0,0
1700030C10Rik,1526,2,0,0
1700030F04Rik,0,0,0,0
1700030F18Rik,0,0,0,0
1700030J22Rik,0,0,298,2
1700030K09Rik,0,205,0,0
1700030L20Rik,0,0,0,0
1700030M09Rik,0,0,0,0
1700030N03Rik,0,0,0,0
1700030O20Rik,0,0,0,0
1700031A10Rik,0,0,0,0
1700031F05Rik,0,0,0,0
1700031M16Rik,0,0,0,0
1700031P21Rik,0,0,0,0
1700034E13Rik,0,0,0,0
1700034F02Rik,0,0,0,0
1700034G24Rik,0,0,5,0
1700034H15Rik,3,22,4,0
1700034I23Rik,0,0,0,0
1700034J05Rik,0,0,0,0
1700034K08Rik,0,0,0,0
1700034O15Rik,0,0,0,0
1700034P13Rik,0,0,0,0
1700036G14Rik,0,0,0,0
1700037C18Rik,0,0,0,0
1700037H04Rik,362,155,160,0
1700039E15Rik,0,0,0,0
1700039E22Rik,0,0,0,0
1700040L02Rik,0,0,0,0
1700040N02Rik,0,0,0,0
1700041C23Rik,0,0,0,0
1700041M19Rik,0,0,0,0
1700042B14Rik,0,0,0,0
1700042G07Rik,0,0,0,0
1700042G15Rik,0,0,0,0
1700042O10Rik,0,0,0,0
1700044C05Rik,0,0,0,0
1700044K03Rik,0,0,0,0
1700045H11Rik,0,0,0,0
1700045I19Rik,99,0,0,0
1700046C09Rik,0,0,0,0
1700047E10Rik,19,14,8,15
1700047G03Rik,0,0,0,0
1700047I17Rik2,0,0,0,0
1700047L14Rik,0,0,0,0
1700047M11Rik,0,0,0,0
1700048M11Rik,0,0,0,0
1700048O20Rik,40,20,13,0
1700049E15Rik,0,0,0,0
1700049E22Rik,0,0,0,0
1700049G17Rik,0,0,0,0
1700049L16Rik,0,0,0,0
1700051A21Rik,0,0,0,0
1700052I22Rik,0,0,0,0
1700052K11Rik,0,0,0,0
1700052N19Rik,8,698,0,558
1700054A03Rik,0,0,0,0
1700054K19Rik,0,0,0,0
1700054M17Rik,0,0,0,0
1700054O13Rik,0,0,0,0
1700055C04Rik,0,0,0,0
1700055N04Rik,0,0,0,0
1700056E22Rik,0,0,0,0
1700057G04Rik,0,0,0,0
1700057H15Rik,0,0,0,0
1700058G18Rik,0,0,0,0
1700060C16Rik,0,0,0,0
1700060C20Rik,0,0,0,0
1700061F12Rik,0,0,0,0
1700061G19Rik,0,0,0,0
1700061I17Rik,0,0,0,0
1700063A18Rik,0,0,0,0
1700063D05Rik,0,5,0,0
1700063O14Rik,0,0,0,0
1700064J06Rik,0,0,0,0
1700064M15Rik,0,0,0,0
1700065D16Rik,0,0,0,0
1700065I16Rik,0,0,0,0
1700065I17Rik,0,0,0,0
1700065J11Rik,0,0,0,0
1700065J18Rik,0,0,0,0
1700065O20Rik,0,0,0,0
1700066B17Rik,0,0,0,0
1700066B19Rik,0,0,0,0
1700066J24Rik,0,7,0,0
1700066M21Rik,0,960,0,901
1700066N21Rik,0,0,0,0
1700066O22Rik,0,0,0,0
1700067G17Rik,0,0,0,0
1700067K01Rik,0,0,34,0
1700067P10Rik,0,0,0,0
1700069L16Rik,0,0,1,0
1700069P05Rik,0,0,0,0
1700071K01Rik,0,0,0,0
1700071M16Rik,0,0,0,0
1700072B07Rik,0,0,0,0
1700072O05Rik,0,21,0,0
1700073E17Rik,0,0,0,0
1700074H08Rik,0,0,0,0
1700074P13Rik,0,0,0,0
1700080E11Rik,0,0,0,0
1700080N15Rik,0,168,0,0
1700080O16Rik,0,0,0,0
1700081H04Rik,0,0,0,0
1700081H22Rik,0,0,0,0
1700084C01Rik,0,0,0,0
1700084E18Rik,0,0,0,0
1700084F23Rik,0,0,0,0
1700084J12Rik,0,0,0,0
1700085B03Rik,0,0,0,0
1700085C21Rik,0,0,0,0
1700086L19Rik,1138,165,542,1268
1700086O06Rik,490,0,87,0
1700088E04Rik,0,0,0,0
1700091E21Rik,0,0,0,0
1700091H14Rik,0,0,0,0
1700092C02Rik,0,0,0,0
1700092C10Rik,0,0,0,0
1700092E19Rik,0,0,0,0
1700092K14Rik,0,0,0,0
1700092M07Rik,0,0,0,0
1700093K21Rik,0,0,0,0
1700094D03Rik,58,8,7,1
1700094J05Rik,0,0,0,0
1700094M24Rik,0,0,0,0
1700095A21Rik,0,0,0,0
1700095B10Rik,0,0,0,0
1700095B22Rik,0,11,0,0
1700096J18Rik,0,0,0,0
1700096K18Rik,0,0,0,0
1700097N02Rik,0,0,0,0
1700100L14Rik,0,0,0,0
1700101E01Rik,0,0,0,0
1700101I11Rik,0,0,0,0
1700101O22Rik,0,0,0,0
1700102H20Rik,0,0,0,77
1700102P08Rik,0,1,0,0
1700104A03Rik,0,0,0,0
1700105P06Rik,0,0,0,0
1700106J16Rik,0,0,0,0
1700108F19Rik,0,0,0,0
1700108J01Rik,0,0,0,0
1700109F18Rik,0,0,0,0
1700109G14Rik,0,0,0,0
1700109G15Rik,0,0,0,0
1700109H08Rik,0,0,0,0
1700109I08Rik,0,0,0,0
1700110C19Rik,0,0,0,0
1700110I01Rik,0,1,1,0
1700110K17Rik,0,0,0,0
1700110M21Rik,0,0,0,0
1700111N16Rik,0,0,0,0
1700112E06Rik,0,0,0,0
1700112H15Rik,0,0,0,0
1700112J05Rik,0,0,0,0
1700113A16Rik,581,327,53,274
1700113H08Rik,0,0,0,0
1700119H24Rik,0,0,0,0
1700120C14Rik,0,0,0,0
1700120E14Rik,0,0,0,0
1700120G07Rik,0,0,0,0
1700120K04Rik,0,0,0,0
1700121L16Rik,0,0,0,0
1700121N20Rik,0,0,0,0
1700122O11Rik,0,0,0,0
1700123I01Rik,0,0,0,0
1700123K08Rik,0,0,0,0
1700123L14Rik,0,0,0,0
1700123M08Rik,0,0,0,0
1700123O12Rik,0,0,0,0
1700123O20Rik,13,210,0,511
1700123O21Rik,0,0,0,0
1700125G02Rik,0,0,0,0
1700125G22Rik,0,0,0,0
1700125H03Rik,0,0,0,0
1700125H20Rik,0,0,0,0
1700126H18Rik,0,0,0,0
1700128A07Rik,0,0,0,0
1700128F08Rik,67,43,22,0
1700129C05Rik,0,0,0,0
1810006J02Rik,0,0,0,0
1810007C17Rik,0,0,0,0
1810007D17Rik,0,0,0,0
1810007I06Rik,0,2,0,0
1810008I18Rik,0,0,0,0
1810009A15Rik,98,1334,345,452
1810009J06Rik,0,0,0,0
1810010D01Rik,0,0,0,0
1810010H24Rik,0,0,0,0
1810011H11Rik,0,0,0,0
1810011O10Rik,0,0,0,0
1810012K16Rik,0,0,0,0
1810013A23Rik,0,0,0,0
1810013D10Rik,0,254,2,392
1810013L24Rik,52,39,1,396
1810014B01Rik,0,1,0,160
1810018F18Rik,0,0,0,0
1810019D21Rik,0,0,0,0
1810019J16Rik,0,0,0,0
1810020O05Rik,0,0,0,0
1810021B22Rik,0,75,0,0
1810022K09Rik,491,530,582,3006
1810024B03Rik,0,0,0,0
1810026B05Rik,0,6,21,0
1810026J23Rik,1052,1395,405,1055
1810030O07Rik,9,78,50,22
1810032O08Rik,0,0,0,0
1810033B17Rik,0,0,0,0
1810034E14Rik,0,0,0,0
1810035I16Rik,4,12,4,5
1810037I17Rik,1128,509,176,2198
1810041L15Rik,0,1034,233,22
1810043G02Rik,0,576,5,404
1810043H04Rik,587,0,133,1221
1810044D09Rik,0,0,0,0
1810046K07Rik,0,0,0,0
1810053B23Rik,0,0,0,0
1810055G02Rik,0,274,9,0
1810058I24Rik,0,0,0,213
1810062G17Rik,0,0,0,0
1810062O18Rik,0,41,0,0
1810064F22Rik,10,4,12,3
1810065E05Rik,0,0,0,0
2010001E11Rik,0,33,0,0
2010001M06Rik,0,0,0,0
2010002M12Rik,2,23,0,0
2010003K11Rik,0,0,0,0
2010003O02Rik,843,24,0,150
2010005H15Rik,0,0,0,0
2010009K17Rik,0,0,0,0
2010010A06Rik,0,0,0,0
2010012O05Rik,541,544,17,49
2010015L04Rik,0,115,11,27
2010016I18Rik,0,0,0,0
2010106C02Rik,0,0,0,0
2010106E10Rik,0,0,0,0
2010107E04Rik,4104,2117,1860,5791
2010107G12Rik,0,0,0,0
2010107G23Rik,2799,440,227,731
2010109A12Rik,0,0,0,0
2010109I03Rik,95,50,159,4
2010111I01Rik,0,604,0,0
2010204K13Rik,1,444,2,527
2010300C02Rik,4691,2061,530,1088
2010308F09Rik,0,0,0,0
2010310C07Rik,0,0,0,0
2010315B03Rik,16,76,30,838
2010320M18Rik,454,75,0,122
2200002D01Rik,0,12,14,0
2200002J24Rik,0,0,0,0
2210010C04Rik,0,0,0,0
2210013O21Rik,4215,1312,60,1704
2210015D19Rik,683,93,0,118
2210016F16Rik,0,0,9,0
2210016L21Rik,542,2463,221,350
2210018M11Rik,1,615,5,404
2210019I11Rik,0,0,0,0
2210039B01Rik,95,24,43,7
2210404J11Rik,0,142,0,1
2210404O07Rik,0,0,0,0
2210404O09Rik,0,7,0,0
2210407C18Rik,0,0,0,0
2210408F21Rik,0,0,0,0
2210408I21Rik,0,346,0,0
2210409D07Rik,0,0,0,0
2210409E12Rik,0,0,0,0
2210414B05Rik,0,0,0,0
2210416O15Rik,0,0,0,0
2210417A02Rik,0,0,0,0
2210417K05Rik,0,0,0,0
2210420H20Rik,0,0,0,0
2300002M23Rik,0,0,0,0
2300003K06Rik,0,0,0,0
2300005B03Rik,0,0,0,0
2300009A05Rik,0,67,2,457
2310001H17Rik,0,0,0,0
2310001K24Rik,0,0,0,0
2310002D06Rik,0,0,0,0
2310002F09Rik,0,0,0,0
2310002J15Rik,0,0,0,0
2310002L09Rik,0,0,0,0
2310003H01Rik,0,324,172,116
2310005A03Rik,0,0,0,0
2310005E17Rik,0,0,0,0
2310005G13Rik,0,0,0,0
2310007B03Rik,0,0,0,0
2310007L24Rik,0,0,0,0
2310008H04Rik,0,0,0,0
2310008H09Rik,45,738,381,152
2310008N11Rik,0,0,0,0
2310009A05Rik,319,117,1,240
2310009B15Rik,5,55,45,132
2310010J17Rik,0,0,0,153
2310010M20Rik,54,23,73,4
2310011J03Rik,800,626,0,402
2310014F07Rik,0,0,0,0
2310014L17Rik,14,8,0,10
2310015A10Rik,0,0,0,0
2310015B20Rik,0,0,0,0
2310015D24Rik,0,0,0,0
2310016D03Rik,0,0,0,0
2310020H05Rik,0,0,0,0
2310022A10Rik,0,612,0,197
2310022B05Rik,0,3,0,465
2310030A07Rik,0,0,0,0
2310030G06Rik,0,0,0,0
2310033P09Rik,114,68,0,253
2310034C09Rik,0,0,0,0
2310034G01Rik,0,0,0,355
2310034O05Rik,0,0,0,0
2310035C23Rik,16,1223,312,13
2310036O22Rik,348,57,436,417
2310039H08Rik,0,169,0,166
2310039L15Rik,49,113,15,17
2310040G24Rik,0,0,0,0
2310042D19Rik,0,0,0,0
2310042E22Rik,0,0,0,0
2310043L19Rik,0,0,0,0
2310043O21Rik,0,0,0,0
2310044G17Rik,9,452,20,700
2310045N01Rik,0,53,0,199
2310047M10Rik,0,140,472,0
2310050B05Rik,0,0,0,0
2310050C09Rik,0,0,0,0
2310057J18Rik,0,0,0,0
2310057M21Rik,0,0,91,0
2310057N15Rik,0,0,0,0
2310061I04Rik,0,102,281,0
2310061J03Rik,0,68,0,62
2310061N02Rik,0,0,0,0
2310065F04Rik,0,0,0,0
2310067B10Rik,13,372,261,0
2310068J16Rik,0,0,0,0
2310069B03Rik,0,0,0,0
2310069G16Rik,332,151,0,89
2310079G19Rik,0,0,0,0
2310081J21Rik,0,0,0,0
2410002F23Rik,814,1763,13,639
2410003L11Rik,0,0,0,0
2410004B18Rik,500,427,6,579
2410004I01Rik,0,0,0,0
2410004N09Rik,8,0,0,717
2410004P03Rik,1,14,0,0
2410006H16Rik,336,141,0,556
2410007B07Rik,0,0,0,0
2410012E07Rik,1,0,4,0
2410012M07Rik,0,0,0,0
2410015M20Rik,882,333,510,1450
2410016O06Rik,0,0,86,27
2410017I17Rik,0,0,0,0
2410018L13Rik,0,120,0,0
2410018M08Rik,1,1,1,159
2410021H03Rik,0,0,0,0
2410057H14Rik,0,0,0,0
2410066E13Rik,0,21,23,0
2410076I21Rik,0,0,101,0
2410088K16Rik,0,0,0,0
2410089E03Rik,0,556,1,0
2410114N07Rik,24,4,0,1
2410124H12Rik,0,0,0,0
2410127L17Rik,0,66,179,93
2410131K14Rik,0,0,57,0
2410137F16Rik,0,0,0,0
2410137M14Rik,0,0,0,0
2410141K09Rik,0,0,0,0
2500004C02Rik,133,272,63,269
2510002D24Rik,44,213,8,372
2510003D18Rik,0,0,0,0
2510003E04Rik,872,790,265,1284
2510009E07Rik,763,620,214,560
2510039O18Rik,0,0,0,41
2510049J12Rik,0,1,0,0
2600006L11Rik,0,0,0,0
2610001J05Rik,1241,920,12,1516
2610002J02Rik,0,480,462,1189
2610002M06Rik,1391,0,7,1190
2610005L07Rik,57,689,8,3
2610008E11Rik,0,793,105,917
2610015P09Rik,0,377,0,0
2610016A17Rik,0,0,0,0
2610017I09Rik,0,0,85,1853
2610018G03Rik,0,44,0,0
2610019E17Rik,0,0,0,0
2610019F03Rik,0,7,94,0
2610020C07Rik,89,0,0,0
2610020H08Rik,0,0,0,0
2610027K06Rik,0,0,0,0
2610028E06Rik,0,0,0,0
2610028H24Rik,0,0,0,0
2610034B18Rik,1331,0,0,0
2610034M16Rik,0,0,0,0
2610035D17Rik,1705,382,0,0
2610035F20Rik,0,0,0,0
2610037D02Rik,0,0,1,0
2610044O15Rik8,1410,144,229,0
2610100L16Rik,0,0,20,0
2610203C20Rik,0,0,1,654
2610203C22Rik,0,0,0,0
2610204G22Rik,0,76,0,73
2610206C17Rik,0,0,0,0
2610301B20Rik,0,755,871,2053
2610301G19Rik,0,115,588,1
2610305D13Rik,0,0,0,0
2610306M01Rik,0,8,0,500
2610307P16Rik,0,0,0,0
2610316D01Rik,0,0,0,0
2610318N02Rik,0,0,0,0
2610507B11Rik,47,827,292,590
2610507I01Rik,29,30,15,525
2610524H06Rik,0,447,714,395
2610528A11Rik,0,308,0,0
2610528J11Rik,0,0,0,0
2700029M09Rik,1756,311,213,1952
2700038G22Rik,6,4,7,0
2700046A07Rik,0,0,0,0
2700046G09Rik,0,3,0,0
2700049A03Rik,0,263,0,1
2700050L05Rik,0,327,0,0
2700054A10Rik,5,31,131,0
2700060E02Rik,1164,854,268,714
2700062C07Rik,12,15,673,1156
2700069I18Rik,8,2,0,0
2700070H01Rik,19,7,11,4
2700081L22Rik,0,0,293,0
2700081O15Rik,0,151,526,65
2700086A05Rik,0,0,0,0
2700089E24Rik,4803,2785,903,1805
2700089I24Rik,0,11,1,1
2700094K13Rik,0,224,0,508
2700097O09Rik,0,233,0,552
2700099C18Rik,0,0,0,7
2810001G20Rik,68,33,0,42
2810002D19Rik,0,0,0,615
2810004N23Rik,53,61,79,0
2810006K23Rik,1,11,0,191
2810007J24Rik,0,0,0,0
2810008D09Rik,0,157,0,380
2810011L19Rik,3,448,142,130
2810013P06Rik,0,322,489,1
2810021J22Rik,2,2,1,22
2810025M15Rik,0,301,583,2002
2810029C07Rik,0,0,0,0
2810032G03Rik,1606,0,791,0
2810047C21Rik1,0,9,0,0
2810049E08Rik,0,0,0,0
2810055G20Rik,0,0,0,0
2810403A07Rik,0,527,176,0
2810403D21Rik,0,0,0,0
2810404M03Rik,0,0,0,0
2810405F15Rik,0,0,0,0
2810407C02Rik,346,177,97,792
2810408A11Rik,0,0,0,0
2810408I11Rik,0,0,0,0
2810408M09Rik,69,160,146,142
2810410L24Rik,0,0,0,0
2810417H13Rik,5,2,4,9
2810428I15Rik,2055,266,36,266
2810429I04Rik,0,0,0,0
2810433D01Rik,1,0,3,0
2810442I21Rik,35,16,69,11
2810442N19Rik,0,0,0,0
2810454H06Rik,0,188,0,0
2810459M11Rik,0,0,0,0
2810468N07Rik,0,0,0,0
2810471M01Rik,0,2,2,2
2810474O19Rik,10,30,286,1040
2900002K06Rik,0,0,0,0
2900005J15Rik,0,5,4,1
2900008C10Rik,0,113,13,0
2900009J06Rik,0,0,0,0
2900011O08Rik,105,4341,723,3312
2900026A02Rik,4,1,31,92
2900041M22Rik,60,0,0,0
2900052N01Rik,0,0,247,119
2900055J20Rik,0,850,787,91
2900056M20Rik,179,2023,158,1452
2900057B20Rik,0,0,0,0
2900060B14Rik,598,87,753,301
2900076A07Rik,895,113,0,1
2900079G21Rik,207,47,46,223
2900092C05Rik,0,0,0,0
2900092D14Rik,38,40,14,30
2900093L17Rik,0,0,0,0
2900097C17Rik,9834,9534,5847,3351
3000002C10Rik,4,190,1,13
3010001F23Rik,0,82,0,365
3010026O09Rik,432,630,0,434
3100003L05Rik,0,0,0,0
3110001D03Rik,1109,372,19,1384
3110001I22Rik,0,0,0,0
3110002H16Rik,0,343,0,66
3110007F17Rik,0,0,0,0
3110009E18Rik,0,0,28,0
3110009F21Rik,0,0,0,0
3110015C05Rik,0,0,1,0
3110021A11Rik,0,0,0,0
3110021N24Rik,0,63,0,0
3110035E14Rik,55,641,9,635
3110039I08Rik,0,0,0,0
3110039M20Rik,0,13,69,3
3110040N11Rik,40,0,283,546
3110043O21Rik,0,321,2,0
3110045C21Rik,0,0,0,0
3110047P20Rik,216,0,0,70
3110052M02Rik,0,197,0,0
3110056K07Rik,0,15,94,0
3110057O12Rik,0,0,4,0
3110062M04Rik,0,53,1,60
3110070M22Rik,0,0,0,0
3110079O15Rik,7,0,0,0
3110082I17Rik,2,269,122,11
3110082J24Rik,0,0,0,465
3110099E03Rik,0,0,0,0
3200001D21Rik,0,0,0,0
3230401D17Rik,0,376,3,840
3300002I08Rik,0,3,0,5
3300005D01Rik,0,0,0,0
3425401B19Rik,8,1,0,5
3632451O06Rik,0,0,6,0
3632454L22Rik,4,3,2,0
3830403N18Rik,0,0,0,0
3830406C13Rik,1842,196,13,663
3830408C21Rik,0,0,0,0
