,GSM3690880_HC_NG17_htseq,GSM3690879_HC_NG16_htseq,GSM3690878_HC_NG15_htseq
1700049G17Rik,0,0,24
1700049L16Rik,0,0,0
1700051A21Rik,0,0,0
1700052I22Rik,0,0,0
1700052K11Rik,0,32,0
1700052N19Rik,0,0,783
1700054A03Rik,0,0,0
1700054K19Rik,0,0,0
1700054M17Rik,0,0,0
1700054O13Rik,0,0,0
1700055C04Rik,0,0,0
1700055N04Rik,0,0,0
1700056E22Rik,0,0,0
1700057G04Rik,0,0,0
1700057H15Rik,0,0,0
1700058G18Rik,0,0,0
1700060C16Rik,0,0,0
1700060C20Rik,0,0,0
1700061F12Rik,0,0,0
1700061G19Rik,0,0,0
1700061I17Rik,0,0,0
1700063A18Rik,0,0,0
1700063D05Rik,9,0,0
1700063O14Rik,0,0,0
1700064J06Rik,0,0,0
1700064M15Rik,0,0,0
1700065D16Rik,0,0,0
1700065I16Rik,0,0,0
1700065I17Rik,0,0,0
1700065J11Rik,0,0,0
1700065J18Rik,0,0,0
1700065O20Rik,0,0,0
1700066B17Rik,0,0,0
1700066B19Rik,0,0,0
1700066J24Rik,0,0,0
1700066M21Rik,824,0,0
1700066N21Rik,16,0,0
1700066O22Rik,0,0,0
1700067G17Rik,0,0,0
1700067K01Rik,0,0,0
1700067P10Rik,0,0,0
1700069L16Rik,0,0,0
1700069P05Rik,0,0,0
1700071K01Rik,0,0,0
1700071M16Rik,0,0,0
1700072B07Rik,0,0,0
1700072O05Rik,0,0,0
1700073E17Rik,0,0,0
1700074H08Rik,0,0,0
1700074P13Rik,0,0,0
1700080E11Rik,0,0,0
1700080N15Rik,0,0,0
1700080O16Rik,0,0,0
1700081H04Rik,0,0,0
1700081H22Rik,0,0,0
1700084C01Rik,137,0,0
1700084E18Rik,0,0,0
1700084F23Rik,0,0,0
1700084J12Rik,0,0,0
1700085B03Rik,0,0,0
1700085C21Rik,0,0,0
1700086L19Rik,384,0,301
1700086O06Rik,136,0,22
1700088E04Rik,0,0,33
1700091E21Rik,0,0,0
1700091H14Rik,0,0,0
1700092C02Rik,0,0,0
1700092C10Rik,0,0,0
1700092E19Rik,0,0,0
1700092K14Rik,0,0,0
1700092M07Rik,0,0,0
1700093K21Rik,0,0,0
1700094D03Rik,28,0,5
1700094J05Rik,0,0,0
1700094M24Rik,0,0,0
1700095A21Rik,0,0,0
1700095B10Rik,0,0,0
1700095B22Rik,0,0,0
1700096J18Rik,0,0,0
1700096K18Rik,0,1,2
1700097N02Rik,0,0,0
1700100L14Rik,0,0,0
1700101E01Rik,0,0,0
1700101I11Rik,0,0,0
1700101O22Rik,0,0,0
1700102H20Rik,0,0,0
1700102P08Rik,0,0,0
1700104A03Rik,0,0,0
1700105P06Rik,0,0,0
1700106J16Rik,0,0,0
1700108F19Rik,0,0,0
1700108J01Rik,0,0,0
1700109F18Rik,0,0,0
1700109G14Rik,0,0,0
1700109G15Rik,0,0,0
1700109H08Rik,0,0,0
1700109I08Rik,0,0,0
1700110C19Rik,0,0,0
1700110I01Rik,1,3,0
1700110K17Rik,0,0,0
1700110M21Rik,0,0,0
1700111N16Rik,0,0,0
1700112E06Rik,0,0,0
1700112H15Rik,0,0,0
1700112J05Rik,0,0,0
1700113A16Rik,35,0,107
1700113H08Rik,0,0,0
1700119H24Rik,0,0,0
1700120C14Rik,0,0,0
1700120E14Rik,0,0,0
1700120G07Rik,0,0,0
1700120K04Rik,0,0,0
1700121L16Rik,0,0,5
1700121N20Rik,0,0,0
1700122O11Rik,0,0,0
1700123I01Rik,0,0,0
1700123K08Rik,0,0,0
1700123L14Rik,0,0,0
1700123M08Rik,0,0,0
1700123O12Rik,0,0,0
1700123O20Rik,128,0,270
1700123O21Rik,0,0,0
1700125G02Rik,0,0,0
1700125G22Rik,0,0,0
1700125H03Rik,0,0,0
1700125H20Rik,0,0,73
1700126H18Rik,0,0,0
1700128A07Rik,0,0,0
1700128F08Rik,6,0,36
1700129C05Rik,0,0,0
1810006J02Rik,0,0,0
1810007C17Rik,0,0,0
1810007D17Rik,0,0,0
1810007I06Rik,0,0,0
1810008I18Rik,0,0,0
1810009A15Rik,0,0,0
1810009J06Rik,0,0,0
1810010D01Rik,0,0,0
1810010H24Rik,0,0,0
1810011H11Rik,0,0,0
1810011O10Rik,0,0,0
1810012K16Rik,0,0,0
1810013A23Rik,0,0,0
1810013D10Rik,482,0,283
1810013L24Rik,22,3,40
1810014B01Rik,0,0,3
1810018F18Rik,0,0,0
1810019D21Rik,0,0,0
1810019J16Rik,0,0,0
1810020O05Rik,0,0,0
1810021B22Rik,0,0,0
1810022K09Rik,0,260,584
1810024B03Rik,20,0,0
1810026B05Rik,0,0,257
1810026J23Rik,0,1743,515
1810030O07Rik,467,16,1094
1810032O08Rik,0,0,0
1810033B17Rik,0,0,0
1810034E14Rik,0,0,0
1810035I16Rik,16,4,16
1810037I17Rik,827,0,414
1810041L15Rik,735,2411,361
1810043G02Rik,117,0,610
1810043H04Rik,165,0,189
1810044D09Rik,0,0,77
1810046K07Rik,0,0,0
1810053B23Rik,0,0,0
1810055G02Rik,0,0,469
1810058I24Rik,0,407,131
1810062G17Rik,0,0,0
1810062O18Rik,0,0,0
1810064F22Rik,2,2,7
1810065E05Rik,0,0,0
2010001E11Rik,0,0,0
2010001M06Rik,0,209,0
2010002M12Rik,0,0,20
2010003K11Rik,0,0,0
2010003O02Rik,0,106,0
2010005H15Rik,0,0,0
2010009K17Rik,0,0,0
2010010A06Rik,0,0,0
2010012O05Rik,10,22,211
2010015L04Rik,10,1,40
2010016I18Rik,0,0,0
2010106C02Rik,0,0,0
2010106E10Rik,0,0,0
2010107E04Rik,753,1852,1706
2010107G12Rik,0,0,0
2010107G23Rik,1202,1,720
2010109A12Rik,0,0,0
2010109I03Rik,67,30,48
2010111I01Rik,0,0,0
2010204K13Rik,548,2,700
2010300C02Rik,1717,37,2579
2010308F09Rik,0,0,0
2010310C07Rik,0,0,0
2010315B03Rik,85,27,1668
2010320M18Rik,0,0,119
2200002D01Rik,0,0,0
2200002J24Rik,0,0,0
2210010C04Rik,0,0,0
2210013O21Rik,3,712,380
2210015D19Rik,0,0,376
2210016F16Rik,0,415,0
2210016L21Rik,3602,626,1547
2210018M11Rik,307,893,22
2210019I11Rik,0,0,0
2210039B01Rik,34,41,87
2210404J11Rik,0,0,0
2210404O07Rik,0,0,0
2210404O09Rik,12,0,107
2210407C18Rik,0,0,0
2210408F21Rik,0,0,283
2210408I21Rik,0,0,0
2210409D07Rik,0,0,0
2210409E12Rik,0,0,0
2210414B05Rik,0,0,0
2210416O15Rik,0,0,0
2210417A02Rik,0,0,0
2210417K05Rik,0,0,0
2210420H20Rik,4,0,1
2300002M23Rik,0,0,0
2300003K06Rik,0,0,0
2300005B03Rik,0,0,0
2300009A05Rik,58,2,256
2310001H17Rik,0,0,0
2310001K24Rik,0,0,0
2310002D06Rik,0,0,0
2310002F09Rik,0,0,0
2310002J15Rik,0,0,0
2310002L09Rik,0,0,0
2310003H01Rik,0,24,6
2310005A03Rik,0,0,0
2310005E17Rik,0,0,0
2310005G13Rik,0,0,0
2310007B03Rik,0,0,0
2310007L24Rik,0,0,0
2310008H04Rik,0,0,0
2310008H09Rik,784,19,19
2310008N11Rik,0,0,0
2310009A05Rik,189,46,0
2310009B15Rik,132,0,76
2310010J17Rik,0,0,0
2310010M20Rik,77,23,29
2310011J03Rik,623,150,373
2310014F07Rik,0,0,0
2310014L17Rik,20,11,0
2310015A10Rik,0,0,0
2310015B20Rik,0,0,0
2310015D24Rik,0,0,0
2310016D03Rik,0,0,0
2310020H05Rik,0,0,0
2310022A10Rik,429,24,544
2310022B05Rik,560,704,1
2310030A07Rik,0,0,0
2310030G06Rik,0,0,0
2310033P09Rik,169,0,367
2310034C09Rik,0,0,0
2310034G01Rik,161,0,3
2310034O05Rik,0,0,0
2310035C23Rik,0,1501,1021
2310036O22Rik,329,334,390
2310039H08Rik,1,4,0
2310039L15Rik,53,0,35
2310040G24Rik,0,0,0
2310042D19Rik,0,0,0
2310042E22Rik,0,0,0
2310043L19Rik,0,0,0
2310043O21Rik,0,0,0
2310044G17Rik,6,0,620
2310045N01Rik,197,0,0
2310047M10Rik,0,0,294
2310050B05Rik,0,0,0
2310050C09Rik,0,0,0
2310057J18Rik,0,0,0
2310057M21Rik,0,298,397
2310057N15Rik,0,0,0
2310061I04Rik,0,0,82
2310061J03Rik,0,56,0
2310061N02Rik,0,0,0
2310065F04Rik,0,0,0
2310067B10Rik,0,0,893
2310068J16Rik,0,0,0
2310069B03Rik,0,0,0
2310069G16Rik,1,0,135
2310079G19Rik,0,0,0
2310081J21Rik,0,0,0
2410002F23Rik,4,1,1071
2410003L11Rik,0,0,0
2410004B18Rik,0,36,323
2410004I01Rik,0,0,0
2410004N09Rik,0,0,0
2410004P03Rik,0,0,3
2410006H16Rik,192,3,10
2410007B07Rik,0,0,0
2410012E07Rik,0,0,0
2410012M07Rik,0,0,0
2410015M20Rik,1023,599,279
2410016O06Rik,0,0,405
2410017I17Rik,0,0,0
2410018L13Rik,0,0,177
2410018M08Rik,3,0,3
2410021H03Rik,4,0,2
2410057H14Rik,0,0,0
2410066E13Rik,0,0,29
2410076I21Rik,0,0,33
2410088K16Rik,0,0,0
2410089E03Rik,486,0,91
2410114N07Rik,5,0,3
2410124H12Rik,0,0,0
2410127L17Rik,0,0,0
2410131K14Rik,315,0,194
2410137F16Rik,0,0,0
2410137M14Rik,0,0,0
2410141K09Rik,0,0,0
2500004C02Rik,317,14,75
2510002D24Rik,4,3,1200
2510003D18Rik,0,0,0
2510003E04Rik,382,824,296
2510009E07Rik,81,46,786
2510039O18Rik,0,0,0
2510049J12Rik,1,0,2
2600006L11Rik,0,0,0
2610001J05Rik,965,755,443
2610002J02Rik,37,1,395
2610002M06Rik,1,1,0
2610005L07Rik,473,0,224
2610008E11Rik,0,0,0
2610015P09Rik,78,89,0
2610016A17Rik,0,0,0
2610017I09Rik,1093,1,0
2610018G03Rik,0,0,23
2610019E17Rik,53,0,11
2610019F03Rik,0,1,0
2610020C07Rik,0,0,0
2610020H08Rik,0,0,0
2610027K06Rik,0,0,0
2610028E06Rik,1,0,0
2610028H24Rik,0,0,0
2610034B18Rik,1,0,45
2610034M16Rik,729,0,0
2610035D17Rik,950,0,64
2610035F20Rik,0,0,0
2610037D02Rik,3,0,0
2610044O15Rik8,0,0,167
2610100L16Rik,0,0,143
2610203C20Rik,0,0,0
2610203C22Rik,0,0,0
2610204G22Rik,0,0,0
2610206C17Rik,0,0,0
2610301B20Rik,433,2,1706
2610301G19Rik,274,5121,1117
2610305D13Rik,1,0,0
2610306M01Rik,777,0,4
2610307P16Rik,0,0,0
2610316D01Rik,0,0,8
2610318N02Rik,0,0,0
2610507B11Rik,18,0,93
2610507I01Rik,171,3,173
2610524H06Rik,0,0,117
2610528A11Rik,0,0,0
2610528J11Rik,0,0,0
2700029M09Rik,1191,22,275
2700038G22Rik,4,1,6
2700046A07Rik,0,0,0
2700046G09Rik,0,0,0
2700049A03Rik,81,0,0
2700050L05Rik,3,1965,0
2700054A10Rik,3,1,45
2700060E02Rik,2342,104,859
2700062C07Rik,0,0,425
2700069I18Rik,1,0,7
2700070H01Rik,11,0,20
2700081L22Rik,0,0,0
2700081O15Rik,0,0,0
2700086A05Rik,0,0,0
2700089E24Rik,3314,418,675
2700089I24Rik,3,0,0
2700094K13Rik,0,0,718
2700097O09Rik,0,0,0
2700099C18Rik,0,0,0
2810001G20Rik,0,0,0
2810002D19Rik,0,725,29
2810004N23Rik,0,1,155
2810006K23Rik,1361,93,244
2810007J24Rik,0,0,0
2810008D09Rik,0,0,0
2810011L19Rik,608,0,2
2810013P06Rik,456,0,1016
2810021J22Rik,14,1,342
2810025M15Rik,0,666,70
2810029C07Rik,0,100,504
2810032G03Rik,0,0,0
2810047C21Rik1,0,0,0
2810049E08Rik,0,0,0
2810055G20Rik,68,0,35
2810403A07Rik,356,0,426
2810403D21Rik,0,0,0
2810404M03Rik,0,0,0
2810405F15Rik,0,0,0
2810407C02Rik,1033,104,1728
2810408A11Rik,0,0,0
2810408I11Rik,0,0,0
2810408M09Rik,245,7,638
2810410L24Rik,0,0,0
2810417H13Rik,30,3,2
2810428I15Rik,0,424,0
2810429I04Rik,1,0,0
2810433D01Rik,0,1,0
2810442I21Rik,18,5,39
2810442N19Rik,0,0,0
2810454H06Rik,27,0,39
2810459M11Rik,0,0,0
2810468N07Rik,4,0,0
2810471M01Rik,0,0,0
2810474O19Rik,3,4,219
2900002K06Rik,0,0,0
2900005J15Rik,0,0,0
2900008C10Rik,0,0,72
2900009J06Rik,0,0,0
2900011O08Rik,3338,1890,3002
2900026A02Rik,85,1,26
2900041M22Rik,0,0,0
2900052N01Rik,0,0,0
2900055J20Rik,17,98,207
2900056M20Rik,181,1072,2221
2900057B20Rik,0,0,0
2900060B14Rik,221,833,55
2900076A07Rik,285,0,0
2900079G21Rik,33,28,147
2900092C05Rik,0,0,0
2900092D14Rik,54,9,16
2900093L17Rik,0,0,0
2900097C17Rik,15549,6554,9925
3000002C10Rik,1,2,3
3010001F23Rik,0,0,0
3010026O09Rik,520,1,3
3100003L05Rik,0,0,0
3110001D03Rik,717,425,134
3110001I22Rik,0,0,439
3110002H16Rik,0,0,96
3110007F17Rik,0,0,0
3110009E18Rik,0,0,9
3110009F21Rik,0,0,0
3110015C05Rik,0,0,0
3110021A11Rik,0,0,0
3110021N24Rik,0,0,0
3110035E14Rik,7,18,537
3110039I08Rik,0,0,0
3110039M20Rik,0,0,0
3110040N11Rik,0,0,304
3110043O21Rik,428,0,800
3110045C21Rik,0,0,0
3110047P20Rik,721,0,354
3110052M02Rik,0,2,8
3110056K07Rik,0,21,7
3110057O12Rik,6,0,0
3110062M04Rik,147,0,0
3110070M22Rik,0,0,0
3110079O15Rik,0,0,0
3110082I17Rik,1,0,3
3110082J24Rik,0,0,0
3110099E03Rik,0,0,0
3200001D21Rik,0,0,0
3230401D17Rik,1633,0,356
3300002I08Rik,1,30,68
3300005D01Rik,0,0,0
3425401B19Rik,2,3,0
3632451O06Rik,0,0,0
3632454L22Rik,3,0,1
3830403N18Rik,0,0,0
3830406C13Rik,209,168,223
3830408C21Rik,309,0,0
3830417A13Rik,0,0,0
3930402G23Rik,0,0,0
4430402I18Rik,661,0,20
4632415K11Rik,0,0,147
4632415L05Rik,2,14,242
4632427E13Rik,0,0,158
4632428C04Rik,0,0,0
4632428N05Rik,0,0,0
4632434I11Rik,0,0,0
4732415M23Rik,0,0,18
4732416N19Rik,0,0,0
4732456N10Rik,0,0,0
4732471J01Rik,21,1,6
4732490B19Rik,0,0,0
4732491K20Rik,0,0,0
4831440E17Rik,633,0,1
4833403I15Rik,0,0,0
4833412C05Rik,0,0,0
4833417C18Rik,59,13,40
4833418N02Rik,0,0,0
4833419F23Rik,0,0,0
4833420G17Rik,896,0,53
4833422C13Rik,0,3,50
4833423E24Rik,0,0,0
4833424O15Rik,1424,119,1037
4833427F10Rik,0,0,2
4833427G06Rik,0,0,0
4833428L15Rik,0,0,0
4833439L19Rik,2891,2522,1615
4921501E09Rik,0,0,0
4921504E06Rik,0,0,0
4921506M07Rik,0,0,0
4921507L20Rik,0,0,0
4921507P07Rik,0,0,0
4921508A21Rik,26,0,93
4921508D12Rik,0,0,0
4921509C19Rik,0,0,0
4921509O07Rik,0,0,0
4921511C10Rik,0,0,142
4921511C20Rik,0,0,0
4921511H03Rik,0,0,0
4921511I17Rik,0,0,0
4921511M17Rik,0,0,0
4921513I03Rik,0,0,0
4921515E04Rik,31,15,40
4921517D22Rik,0,0,0
4921524J17Rik,479,980,0
4921524L21Rik,0,0,0
4921525B02Rik,0,0,0
4921525O09Rik,0,0,0
4921530D09Rik,0,0,0
4921530L18Rik,0,0,0
4921530L21Rik,0,0,0
4921531C22Rik,2,0,0
4921531P14Rik,0,0,0
4921533I20Rik,0,0,0
4921536K21Rik,0,0,0
4921539E11Rik,0,0,0
4922501C03Rik,1033,1,126
4922501L14Rik,0,0,0
4922502D21Rik,0,0,0
4922502H24Rik,0,0,0
4922502N22Rik,0,0,0
4922505E12Rik,0,0,0
4930401C15Rik,0,0,0
4930401O10Rik,0,0,0
4930401O12Rik,0,0,0
4930402F06Rik,0,0,0
4930402F11Rik,9,0,0
4930402H24Rik,58,79,140
4930402K13Rik,0,0,0
4930404A05Rik,0,0,0
4930404A10Rik,0,0,0
4930404H11Rik,0,0,0
4930404I05Rik,0,0,0
4930404N11Rik,0,0,67
4930405A10Rik,0,0,0
4930405A21Rik,0,0,0
4930405D11Rik,0,0,0
4930405J17Rik,0,0,0
4930405P13Rik,42,14,47
4930406D18Rik,0,0,0
4930407I10Rik,0,0,0
4930408F14Rik,0,0,0
4930412B13Rik,0,0,0
4930412C18Rik,0,0,0
4930412O13Rik,0,0,0
4930413E15Rik,0,0,0
4930413F20Rik,0,0,0
4930413G21Rik,2,3,1
4930413M19Rik,0,0,0
4930414L22Rik,65,521,0
4930414N06Rik,0,0,0
4930415F15Rik,0,0,0
4930415L06Rik,0,0,0
4930415O20Rik,0,0,0
4930417O13Rik,0,0,0
4930417O22Rik,1,0,3
4930419G24Rik,218,0,0
4930422G04Rik,0,378,0
4930423M02Rik,0,0,0
4930425K10Rik,0,0,0
4930425O10Rik,0,3,0
4930426D05Rik,0,0,0
4930426L09Rik,0,0,0
4930427A07Rik,0,0,0
4930428D18Rik,0,0,0
4930428E07Rik,0,0,0
4930428G15Rik,0,0,0
4930428O21Rik,0,0,0
4930429B21Rik,0,0,220
4930429D17Rik,0,0,0
