,GSM3690875_HC_G15_htseq,GSM3690877_HC_G17_htseq,GSM3690876_HC_G16_htseq
1700049E22Rik,0,0,0
1700049G17Rik,0,0,0
1700049L16Rik,0,0,0
1700051A21Rik,0,0,0
1700052I22Rik,0,0,0
1700052K11Rik,0,258,0
1700052N19Rik,0,0,1
1700054A03Rik,0,0,0
1700054K19Rik,0,0,0
1700054M17Rik,0,0,0
1700054O13Rik,0,0,0
1700055C04Rik,0,0,0
1700055N04Rik,0,0,0
1700056E22Rik,0,0,0
1700057G04Rik,0,0,0
1700057H15Rik,0,0,0
1700058G18Rik,0,0,0
1700060C16Rik,0,0,0
1700060C20Rik,0,0,0
1700061F12Rik,0,0,0
1700061G19Rik,0,0,0
1700061I17Rik,0,0,0
1700063A18Rik,0,0,0
1700063D05Rik,11,14,0
1700063O14Rik,0,0,0
1700064J06Rik,0,0,0
1700064M15Rik,0,0,0
1700065D16Rik,0,0,0
1700065I16Rik,0,0,0
1700065I17Rik,0,0,0
1700065J11Rik,0,0,0
1700065J18Rik,0,0,0
1700065O20Rik,0,0,0
1700066B17Rik,0,0,0
1700066B19Rik,0,0,0
1700066J24Rik,0,1,0
1700066M21Rik,51,1974,0
1700066N21Rik,0,0,0
1700066O22Rik,0,0,0
1700067G17Rik,0,0,0
1700067K01Rik,0,0,0
1700067P10Rik,0,0,0
1700069L16Rik,0,0,0
1700069P05Rik,0,0,0
1700071K01Rik,0,0,2
1700071M16Rik,0,0,0
1700072B07Rik,0,0,0
1700072O05Rik,0,0,0
1700073E17Rik,0,0,0
1700074H08Rik,0,0,0
1700074P13Rik,0,0,0
1700080E11Rik,0,0,0
1700080N15Rik,157,0,0
1700080O16Rik,0,0,0
1700081H04Rik,0,0,0
1700081H22Rik,0,0,0
1700084C01Rik,28,0,0
1700084E18Rik,0,0,0
1700084F23Rik,0,0,0
1700084J12Rik,0,0,0
1700085B03Rik,0,0,0
1700085C21Rik,0,0,0
1700086L19Rik,0,398,0
1700086O06Rik,31,0,0
1700088E04Rik,0,0,0
1700091E21Rik,0,0,0
1700091H14Rik,0,3,0
1700092C02Rik,0,0,0
1700092C10Rik,0,0,0
1700092E19Rik,0,0,0
1700092K14Rik,0,0,0
1700092M07Rik,0,0,0
1700093K21Rik,0,0,0
1700094D03Rik,149,52,78
1700094J05Rik,0,0,0
1700094M24Rik,0,0,0
1700095A21Rik,0,31,0
1700095B10Rik,0,0,0
1700095B22Rik,33,0,0
1700096J18Rik,0,0,0
1700096K18Rik,0,0,0
1700097N02Rik,0,0,0
1700100L14Rik,0,0,0
1700101E01Rik,0,0,0
1700101I11Rik,0,0,0
1700101O22Rik,0,0,0
1700102H20Rik,0,0,0
1700102P08Rik,0,0,0
1700104A03Rik,0,0,0
1700105P06Rik,0,0,0
1700106J16Rik,0,0,0
1700108F19Rik,0,0,0
1700108J01Rik,0,0,0
1700109F18Rik,0,0,0
1700109G14Rik,0,0,0
1700109G15Rik,0,0,0
1700109H08Rik,0,0,0
1700109I08Rik,0,0,0
1700110C19Rik,0,0,0
1700110I01Rik,4,0,3
1700110K17Rik,8,13,0
1700110M21Rik,0,0,0
1700111N16Rik,0,0,0
1700112E06Rik,0,0,0
1700112H15Rik,0,0,0
1700112J05Rik,0,0,0
1700113A16Rik,0,151,14
1700113H08Rik,0,0,0
1700119H24Rik,0,0,0
1700120C14Rik,0,0,0
1700120E14Rik,0,0,0
1700120G07Rik,0,0,0
1700120K04Rik,0,0,0
1700121L16Rik,0,0,0
1700121N20Rik,0,0,0
1700122O11Rik,0,0,0
1700123I01Rik,0,0,0
1700123K08Rik,0,0,0
1700123L14Rik,0,0,0
1700123M08Rik,0,0,0
1700123O12Rik,0,0,0
1700123O20Rik,0,74,6
1700123O21Rik,0,0,0
1700125G02Rik,1,0,0
1700125G22Rik,0,0,0
1700125H03Rik,0,0,0
1700125H20Rik,0,0,0
1700126H18Rik,0,0,0
1700128A07Rik,0,0,0
1700128F08Rik,47,4,73
1700129C05Rik,0,0,0
1810006J02Rik,0,0,0
1810007C17Rik,0,0,0
1810007D17Rik,0,0,0
1810007I06Rik,3,0,0
1810008I18Rik,0,0,0
1810009A15Rik,8,6,0
1810009J06Rik,0,0,0
1810010D01Rik,0,0,0
1810010H24Rik,36,0,0
1810011H11Rik,15,0,0
1810011O10Rik,0,0,0
1810012K16Rik,0,0,0
1810013A23Rik,0,0,0
1810013D10Rik,18,546,8
1810013L24Rik,1,1215,0
1810014B01Rik,4,1,5
1810018F18Rik,0,0,0
1810019D21Rik,0,0,0
1810019J16Rik,0,0,0
1810020O05Rik,0,0,0
1810021B22Rik,0,38,0
1810022K09Rik,137,34,24
1810024B03Rik,0,0,0
1810026B05Rik,11,71,0
1810026J23Rik,127,3,5
1810030O07Rik,103,18,118
1810032O08Rik,0,0,0
1810033B17Rik,0,0,0
1810034E14Rik,0,0,0
1810035I16Rik,45,15,6
1810037I17Rik,542,136,0
1810041L15Rik,48,259,0
1810043G02Rik,339,88,0
1810043H04Rik,139,325,0
1810044D09Rik,0,0,0
1810046K07Rik,0,0,0
1810053B23Rik,0,0,0
1810055G02Rik,0,0,0
1810058I24Rik,0,55,14
1810062G17Rik,0,0,0
1810062O18Rik,0,0,0
1810064F22Rik,14,16,3
1810065E05Rik,0,0,0
2010001E11Rik,0,0,0
2010001M06Rik,0,0,1
2010002M12Rik,21,20,0
2010003K11Rik,0,0,0
2010003O02Rik,0,0,1
2010005H15Rik,0,0,0
2010009K17Rik,0,0,0
2010010A06Rik,0,0,1
2010012O05Rik,130,1029,13
2010015L04Rik,31,25,31
2010016I18Rik,0,0,0
2010106C02Rik,0,0,0
2010106E10Rik,0,0,0
2010107E04Rik,539,1456,772
2010107G12Rik,0,0,0
2010107G23Rik,209,0,97
2010109A12Rik,0,0,0
2010109I03Rik,127,99,76
2010111I01Rik,0,15,0
2010204K13Rik,139,256,0
2010300C02Rik,405,3047,70
2010308F09Rik,0,0,0
2010310C07Rik,0,0,0
2010315B03Rik,113,194,30
2010320M18Rik,0,0,0
2200002D01Rik,6,0,3
2200002J24Rik,0,0,0
2210010C04Rik,0,0,0
2210013O21Rik,1,621,5
2210015D19Rik,254,1,1
2210016F16Rik,2,0,0
2210016L21Rik,48,1126,408
2210018M11Rik,77,5,40
2210019I11Rik,0,0,0
2210039B01Rik,64,37,55
2210404J11Rik,0,0,0
2210404O07Rik,0,0,0
2210404O09Rik,2,0,0
2210407C18Rik,0,0,0
2210408F21Rik,135,0,0
2210408I21Rik,0,0,0
2210409D07Rik,0,0,0
2210409E12Rik,0,0,0
2210414B05Rik,0,0,0
2210416O15Rik,0,0,0
2210417A02Rik,0,0,0
2210417K05Rik,0,0,0
2210420H20Rik,0,0,0
2300002M23Rik,0,0,0
2300003K06Rik,0,0,0
2300005B03Rik,0,0,0
2300009A05Rik,60,253,2
2310001H17Rik,0,0,0
2310001K24Rik,0,0,0
2310002D06Rik,0,0,0
2310002F09Rik,0,0,0
2310002J15Rik,0,0,0
2310002L09Rik,0,0,0
2310003H01Rik,70,0,0
2310005A03Rik,4,0,0
2310005E17Rik,0,0,0
2310005G13Rik,0,0,0
2310007B03Rik,0,0,0
2310007L24Rik,0,0,0
2310008H04Rik,0,0,15
2310008H09Rik,640,1181,112
2310008N11Rik,0,0,0
2310009A05Rik,97,293,4
2310009B15Rik,52,0,0
2310010J17Rik,0,0,0
2310010M20Rik,103,61,52
2310011J03Rik,0,81,0
2310014F07Rik,0,0,0
2310014L17Rik,27,3,58
2310015A10Rik,77,0,0
2310015B20Rik,0,0,0
2310015D24Rik,0,0,0
2310016D03Rik,0,0,0
2310020H05Rik,0,0,0
2310022A10Rik,26,563,0
2310022B05Rik,33,750,4
2310030A07Rik,0,0,0
2310030G06Rik,0,0,0
2310033P09Rik,37,0,46
2310034C09Rik,0,0,0
2310034G01Rik,0,0,0
2310034O05Rik,0,0,0
2310035C23Rik,34,0,171
2310036O22Rik,93,52,20
2310039H08Rik,36,142,0
2310039L15Rik,89,69,16
2310040G24Rik,0,0,0
2310042D19Rik,0,0,0
2310042E22Rik,0,0,0
2310043L19Rik,0,0,0
2310043O21Rik,0,0,0
2310044G17Rik,109,29,455
2310045N01Rik,1,209,11
2310047M10Rik,1,3,0
2310050B05Rik,0,0,0
2310050C09Rik,0,0,0
2310057J18Rik,0,0,0
2310057M21Rik,4,2,0
2310057N15Rik,0,0,0
2310061I04Rik,5,0,204
2310061J03Rik,0,0,0
2310061N02Rik,0,0,0
2310065F04Rik,0,0,0
2310067B10Rik,70,1007,0
2310068J16Rik,0,0,0
2310069B03Rik,0,1,0
2310069G16Rik,0,0,32
2310079G19Rik,0,0,0
2310081J21Rik,0,0,0
2410002F23Rik,0,530,0
2410003L11Rik,0,0,0
2410004B18Rik,5,371,546
2410004I01Rik,0,0,0
2410004N09Rik,0,0,9
2410004P03Rik,0,0,11
2410006H16Rik,98,0,0
2410007B07Rik,0,0,0
2410012E07Rik,3,1,10
2410012M07Rik,0,0,0
2410015M20Rik,140,440,6
2410016O06Rik,0,3,0
2410017I17Rik,0,0,0
2410018L13Rik,14,232,0
2410018M08Rik,8,0,1
2410021H03Rik,3,0,0
2410057H14Rik,0,0,0
2410066E13Rik,2,41,0
2410076I21Rik,0,0,0
2410088K16Rik,0,0,0
2410089E03Rik,550,27,5
2410114N07Rik,5,26,5
2410124H12Rik,0,0,0
2410127L17Rik,0,0,0
2410131K14Rik,453,87,0
2410137F16Rik,33,5,0
2410137M14Rik,0,0,0
2410141K09Rik,0,10,0
2500004C02Rik,259,101,118
2510002D24Rik,41,372,7
2510003D18Rik,0,0,0
2510003E04Rik,2,649,732
2510009E07Rik,60,184,47
2510039O18Rik,0,0,0
2510049J12Rik,3,2,1
2600006L11Rik,0,0,0
2610001J05Rik,201,1034,0
2610002J02Rik,5,0,671
2610002M06Rik,0,302,21
2610005L07Rik,332,267,84
2610008E11Rik,0,0,0
2610015P09Rik,677,296,211
2610016A17Rik,0,0,0
2610017I09Rik,100,256,1
2610018G03Rik,22,0,0
2610019E17Rik,31,0,0
2610019F03Rik,0,148,0
2610020C07Rik,0,0,0
2610020H08Rik,0,0,0
2610027K06Rik,0,0,0
2610028E06Rik,2,0,0
2610028H24Rik,0,0,0
2610034B18Rik,1,1,0
2610034M16Rik,0,0,0
2610035D17Rik,0,0,0
2610035F20Rik,0,0,0
2610037D02Rik,9,1,2
2610044O15Rik8,0,66,0
2610100L16Rik,58,102,41
2610203C20Rik,60,1,0
2610203C22Rik,0,0,0
2610204G22Rik,0,0,0
2610206C17Rik,112,0,7
2610301B20Rik,16,1360,27
2610301G19Rik,7,383,7
2610305D13Rik,0,0,0
2610306M01Rik,0,0,0
2610307P16Rik,0,1,0
2610316D01Rik,0,0,0
2610318N02Rik,0,0,0
2610507B11Rik,251,384,144
2610507I01Rik,54,29,10
2610524H06Rik,10,1,0
2610528A11Rik,0,0,0
2610528J11Rik,0,0,0
2700029M09Rik,179,1053,7
2700038G22Rik,9,3,2
2700046A07Rik,0,0,0
2700046G09Rik,0,0,0
2700049A03Rik,1,0,0
2700050L05Rik,18,55,0
2700054A10Rik,22,2,0
2700060E02Rik,649,200,32
2700062C07Rik,0,0,0
2700069I18Rik,6,25,1
2700070H01Rik,50,23,53
2700081L22Rik,0,0,0
2700081O15Rik,2,11,0
2700086A05Rik,0,0,0
2700089E24Rik,491,1024,273
2700089I24Rik,4,2,2
2700094K13Rik,241,4,0
2700097O09Rik,0,0,0
2700099C18Rik,0,0,0
2810001G20Rik,6,0,0
2810002D19Rik,114,0,0
2810004N23Rik,23,44,0
2810006K23Rik,26,1,16
2810007J24Rik,0,0,0
2810008D09Rik,64,0,0
2810011L19Rik,3,14,16
2810013P06Rik,39,11,1
2810021J22Rik,0,0,4
2810025M15Rik,37,0,0
2810029C07Rik,17,0,0
2810032G03Rik,3,0,0
2810047C21Rik1,0,0,0
2810049E08Rik,0,0,0
2810055G20Rik,0,80,0
2810403A07Rik,71,438,0
2810403D21Rik,0,0,0
2810404M03Rik,0,0,0
2810405F15Rik,3,0,0
2810407C02Rik,53,1280,440
2810408A11Rik,0,0,0
2810408I11Rik,0,0,0
2810408M09Rik,25,501,1
2810410L24Rik,0,0,0
2810417H13Rik,15,0,161
2810428I15Rik,131,201,12
2810429I04Rik,0,0,0
2810433D01Rik,0,0,2
2810442I21Rik,43,46,40
2810442N19Rik,0,0,0
2810454H06Rik,30,0,0
2810459M11Rik,0,0,0
2810468N07Rik,0,0,0
2810471M01Rik,6,1,2
2810474O19Rik,75,27,8
2900002K06Rik,0,0,0
2900005J15Rik,0,0,0
2900008C10Rik,0,0,0
2900009J06Rik,0,0,0
2900011O08Rik,26,1040,108
2900026A02Rik,28,17,1
2900041M22Rik,0,0,0
2900052N01Rik,0,0,0
2900055J20Rik,127,191,68
2900056M20Rik,135,374,25
2900057B20Rik,0,0,0
2900060B14Rik,462,1105,1475
2900076A07Rik,10,0,249
2900079G21Rik,44,23,16
2900092C05Rik,0,0,0
2900092D14Rik,88,53,17
2900093L17Rik,0,0,0
2900097C17Rik,1644,5428,2638
3000002C10Rik,5,3,0
3010001F23Rik,0,0,0
3010026O09Rik,38,0,0
3100003L05Rik,0,0,0
3110001D03Rik,69,253,15
3110001I22Rik,0,0,0
3110002H16Rik,0,32,0
3110007F17Rik,0,0,0
3110009E18Rik,11,0,0
3110009F21Rik,0,0,0
3110015C05Rik,4,6,0
3110021A11Rik,0,0,0
3110021N24Rik,0,0,0
3110035E14Rik,92,1460,117
3110039I08Rik,0,0,0
3110039M20Rik,42,0,49
3110040N11Rik,0,82,0
3110043O21Rik,329,1,14
3110045C21Rik,0,0,0
3110047P20Rik,4,11,1
3110052M02Rik,143,0,0
3110056K07Rik,1,0,0
3110057O12Rik,0,0,0
3110062M04Rik,18,0,0
3110070M22Rik,0,0,0
3110079O15Rik,0,0,0
3110082I17Rik,26,10,9
3110082J24Rik,0,0,0
3110099E03Rik,16,0,0
3200001D21Rik,0,3,0
3230401D17Rik,0,0,0
3300002I08Rik,2,0,0
3300005D01Rik,0,0,0
3425401B19Rik,5,1,4
3632451O06Rik,0,3,2
3632454L22Rik,14,14,11
3830403N18Rik,0,0,0
3830406C13Rik,7,0,0
3830408C21Rik,0,0,0
3830417A13Rik,0,0,0
3930402G23Rik,0,0,0
4430402I18Rik,0,0,0
4632415K11Rik,0,0,0
4632415L05Rik,6,884,1
4632427E13Rik,56,0,0
4632428C04Rik,0,0,0
4632428N05Rik,137,31,3
4632434I11Rik,0,0,0
4732415M23Rik,0,1,0
4732416N19Rik,0,0,0
4732456N10Rik,0,0,0
4732471J01Rik,193,0,13
4732490B19Rik,0,0,0
4732491K20Rik,35,0,149
4831440E17Rik,30,22,0
4833403I15Rik,0,0,0
4833412C05Rik,0,0,0
4833417C18Rik,182,49,43
4833418N02Rik,0,0,0
4833419F23Rik,0,0,0
4833420G17Rik,20,14,52
4833422C13Rik,2,1,23
4833423E24Rik,0,0,0
4833424O15Rik,367,114,0
4833427F10Rik,0,1,0
4833427G06Rik,0,0,0
4833428L15Rik,0,0,0
4833439L19Rik,139,1548,470
4921501E09Rik,0,0,0
4921504E06Rik,0,0,0
4921506M07Rik,0,0,0
4921507L20Rik,6,0,0
4921507P07Rik,0,0,0
4921508A21Rik,96,68,27
4921508D12Rik,0,0,0
4921509C19Rik,0,0,0
4921509O07Rik,0,0,0
4921511C10Rik,0,0,0
4921511C20Rik,0,0,0
4921511H03Rik,0,0,477
4921511I17Rik,0,0,0
4921511M17Rik,0,0,0
4921513I03Rik,0,0,0
4921515E04Rik,27,14,65
4921517D22Rik,0,0,0
4921524J17Rik,23,5,52
4921524L21Rik,0,0,0
4921525B02Rik,0,0,0
4921525O09Rik,0,0,0
4921530D09Rik,0,0,0
4921530L18Rik,0,0,0
4921530L21Rik,0,0,0
4921531C22Rik,0,0,0
4921531P14Rik,0,0,0
4921533I20Rik,0,0,0
4921536K21Rik,2,0,0
4921539E11Rik,0,0,0
4922501C03Rik,10,0,13
4922501L14Rik,16,0,0
4922502D21Rik,0,0,0
4922502H24Rik,0,0,0
4922502N22Rik,0,0,0
4922505E12Rik,0,0,0
4930401C15Rik,0,0,0
4930401O10Rik,0,0,0
4930401O12Rik,0,0,0
4930402F06Rik,0,0,0
4930402F11Rik,2,0,0
4930402H24Rik,296,107,165
4930402K13Rik,0,0,0
4930404A05Rik,0,0,0
4930404A10Rik,0,0,0
4930404H11Rik,0,0,0
4930404I05Rik,0,0,0
4930404N11Rik,0,0,0
4930405A10Rik,0,0,0
4930405A21Rik,0,0,0
4930405D11Rik,0,0,0
4930405J17Rik,0,0,0
4930405P13Rik,45,48,14
4930406D18Rik,0,0,0
4930407I10Rik,0,0,0
4930408F14Rik,0,0,0
4930412B13Rik,0,0,0
4930412C18Rik,3,0,0
4930412O13Rik,0,0,0
4930413E15Rik,0,0,0
4930413F20Rik,0,0,0
4930413G21Rik,11,20,4
4930413M19Rik,0,0,0
4930414L22Rik,0,309,0
4930414N06Rik,0,0,0
4930415F15Rik,0,0,0
4930415L06Rik,0,0,0
4930415O20Rik,0,0,0
4930417O13Rik,0,0,0
4930417O22Rik,26,0,4
4930419G24Rik,0,4,0
4930422G04Rik,0,0,0
4930423M02Rik,0,0,0
4930425K10Rik,0,0,0
4930425O10Rik,0,0,0
4930426D05Rik,0,0,0
4930426L09Rik,0,0,0
4930427A07Rik,9,125,2
4930428D18Rik,0,0,0
4930428E07Rik,0,0,0
4930428G15Rik,0,0,0
4930428O21Rik,0,0,0
4930429B21Rik,0,0,0
4930429D17Rik,0,0,0
4930429F11Rik,0,0,0
4930429F24Rik,0,0,0
4930430A15Rik,0,0,0
