,GSM3690881_NS_G18_htseq,GSM3690883_NS_G20_htseq,GSM3690882_NS_G19_htseq,GSM3690884_NS_G21_htseq
1700026L06Rik,0,0,0,0
1700027A15Rik,0,0,0,0
1700027F09Rik,0,0,0,0
1700027H10Rik,0,0,0,0
1700027I24Rik,0,0,0,0
1700027J07Rik,0,0,0,0
1700028B04Rik,0,0,0,0
1700028D13Rik,0,0,0,0
1700028E10Rik,0,0,0,0
1700028I16Rik,0,0,0,0
1700028J19Rik,0,0,0,0
1700028K03Rik,19,0,0,0
1700028M03Rik,0,0,0,0
1700028P14Rik,0,0,0,0
1700028P15Rik,0,0,0,0
1700029B22Rik,0,0,0,0
1700029F12Rik,0,0,0,0
1700029H14Rik,0,0,0,0
1700029I15Rik,0,0,0,0
1700029J03Rik,0,0,0,0
1700029J07Rik,3,2,8,0
1700029M20Rik,0,0,0,0
1700029N11Rik,0,0,0,0
1700029P11Rik,0,0,0,0
1700030A11Rik,0,0,0,0
1700030C10Rik,2,2,0,0
1700030F04Rik,0,0,0,0
1700030F18Rik,0,0,0,0
1700030J22Rik,0,35,0,0
1700030K09Rik,344,0,0,0
1700030L20Rik,0,0,0,0
1700030M09Rik,0,0,0,0
1700030N03Rik,0,0,0,0
1700030O20Rik,0,0,0,0
1700031A10Rik,0,0,0,0
1700031F05Rik,0,0,0,0
1700031M16Rik,0,0,0,0
1700031P21Rik,0,0,0,0
1700034E13Rik,0,0,0,0
1700034F02Rik,0,0,0,0
1700034G24Rik,0,0,0,0
1700034H15Rik,17,12,145,15
1700034I23Rik,0,0,0,26
1700034J05Rik,0,0,0,0
1700034K08Rik,0,0,0,0
1700034O15Rik,0,0,0,0
1700034P13Rik,0,0,0,0
1700036G14Rik,0,0,0,0
1700037C18Rik,0,0,0,0
1700037H04Rik,369,67,0,274
1700039E15Rik,0,0,0,0
1700039E22Rik,0,0,0,0
1700040L02Rik,0,0,0,0
1700040N02Rik,50,0,0,0
1700041C23Rik,0,0,0,0
1700041M19Rik,0,0,0,0
1700042B14Rik,0,0,0,0
1700042G07Rik,0,0,0,0
1700042G15Rik,0,0,0,0
1700042O10Rik,0,0,0,0
1700044C05Rik,0,0,0,0
1700044K03Rik,0,0,0,0
1700045H11Rik,0,0,0,0
1700045I19Rik,0,0,0,0
1700046C09Rik,0,0,0,0
1700047E10Rik,19,15,17,13
1700047G03Rik,0,0,0,0
1700047I17Rik2,0,0,0,0
1700047L14Rik,0,0,0,0
1700047M11Rik,19,0,0,0
1700048M11Rik,0,0,0,0
1700048O20Rik,20,25,1,12
1700049E15Rik,0,0,0,0
1700049E22Rik,0,0,0,0
1700049G17Rik,0,0,0,0
1700049L16Rik,0,0,0,0
1700051A21Rik,0,0,0,0
1700052I22Rik,0,0,0,0
1700052K11Rik,0,0,0,0
1700052N19Rik,86,11,4,3
1700054A03Rik,0,0,0,0
1700054K19Rik,0,0,0,0
1700054M17Rik,0,0,0,0
1700054O13Rik,0,0,0,0
1700055C04Rik,0,0,0,0
1700055N04Rik,0,0,0,0
1700056E22Rik,0,0,0,0
1700057G04Rik,0,0,0,0
1700057H15Rik,0,0,0,0
1700058G18Rik,0,0,0,0
1700060C16Rik,0,0,0,0
1700060C20Rik,0,0,0,0
1700061F12Rik,0,0,0,0
1700061G19Rik,0,0,0,0
1700061I17Rik,0,0,0,0
1700063A18Rik,0,0,0,0
1700063D05Rik,13,0,13,0
1700063O14Rik,0,0,0,0
1700064J06Rik,0,0,0,0
1700064M15Rik,0,0,0,0
1700065D16Rik,0,0,0,0
1700065I16Rik,0,0,0,0
1700065I17Rik,0,0,0,0
1700065J11Rik,0,0,0,0
1700065J18Rik,0,0,0,0
1700065O20Rik,0,0,0,0
1700066B17Rik,0,0,0,0
1700066B19Rik,0,0,0,0
1700066J24Rik,0,58,0,2
1700066M21Rik,4,0,0,321
1700066N21Rik,0,0,0,0
1700066O22Rik,0,0,0,0
1700067G17Rik,0,0,0,0
1700067K01Rik,0,0,0,0
1700067P10Rik,0,0,0,0
1700069L16Rik,0,0,0,0
1700069P05Rik,0,0,0,0
1700071K01Rik,0,0,0,0
1700071M16Rik,0,0,0,0
1700072B07Rik,0,0,0,0
1700072O05Rik,0,0,0,0
1700073E17Rik,0,0,0,0
1700074H08Rik,0,0,0,0
1700074P13Rik,0,0,0,0
1700080E11Rik,0,0,0,0
1700080N15Rik,306,0,68,0
1700080O16Rik,0,0,0,0
1700081H04Rik,0,0,0,0
1700081H22Rik,0,0,0,0
1700084C01Rik,0,0,0,0
1700084E18Rik,0,0,0,0
1700084F23Rik,0,0,0,0
1700084J12Rik,0,0,0,0
1700085B03Rik,0,0,0,0
1700085C21Rik,0,0,0,0
1700086L19Rik,0,0,1,0
1700086O06Rik,0,0,0,0
1700088E04Rik,0,0,0,0
1700091E21Rik,0,0,0,0
1700091H14Rik,0,0,0,0
1700092C02Rik,0,0,0,0
1700092C10Rik,0,0,0,0
1700092E19Rik,0,0,0,0
1700092K14Rik,0,0,0,0
1700092M07Rik,0,0,0,0
1700093K21Rik,0,0,0,0
1700094D03Rik,104,16,21,14
1700094J05Rik,0,0,0,0
1700094M24Rik,0,0,0,0
1700095A21Rik,0,0,0,0
1700095B10Rik,0,0,0,0
1700095B22Rik,0,0,0,0
1700096J18Rik,0,0,0,0
1700096K18Rik,14,15,2,0
1700097N02Rik,0,0,0,0
1700100L14Rik,0,0,0,0
1700101E01Rik,0,0,1,0
1700101I11Rik,0,0,0,0
1700101O22Rik,0,0,0,0
1700102H20Rik,0,0,0,0
1700102P08Rik,0,0,0,0
1700104A03Rik,0,0,0,0
1700105P06Rik,0,0,0,0
1700106J16Rik,0,0,0,0
1700108F19Rik,0,0,0,0
1700108J01Rik,0,0,0,0
1700109F18Rik,0,0,0,0
1700109G14Rik,0,0,0,0
1700109G15Rik,0,0,0,0
1700109H08Rik,0,0,0,0
1700109I08Rik,0,0,0,0
1700110C19Rik,0,13,0,0
1700110I01Rik,2,1,3,0
1700110K17Rik,11,0,7,0
1700110M21Rik,0,0,0,0
1700111N16Rik,0,0,0,0
1700112E06Rik,0,0,0,0
1700112H15Rik,0,0,0,0
1700112J05Rik,0,0,0,0
1700113A16Rik,11,705,6,212
1700113H08Rik,0,0,0,0
1700119H24Rik,0,0,0,0
1700120C14Rik,0,0,0,0
1700120E14Rik,0,0,0,0
1700120G07Rik,0,0,0,0
1700120K04Rik,0,0,0,0
1700121L16Rik,0,0,0,0
1700121N20Rik,0,0,0,0
1700122O11Rik,0,0,0,0
1700123I01Rik,0,0,0,0
1700123K08Rik,0,0,0,0
1700123L14Rik,0,0,0,0
1700123M08Rik,0,0,0,0
1700123O12Rik,0,0,0,0
1700123O20Rik,331,4,0,14
1700123O21Rik,17,0,0,0
1700125G02Rik,0,1,0,0
1700125G22Rik,0,0,0,0
1700125H03Rik,0,0,0,0
1700125H20Rik,0,0,0,0
1700126H18Rik,0,0,0,0
1700128A07Rik,0,0,0,0
1700128F08Rik,31,86,4,23
1700129C05Rik,0,0,0,0
1810006J02Rik,0,0,0,0
1810007C17Rik,0,0,0,0
1810007D17Rik,0,0,0,0
1810007I06Rik,0,0,0,0
1810008I18Rik,0,0,0,0
1810009A15Rik,0,4,0,131
1810009J06Rik,0,0,0,0
1810010D01Rik,0,0,133,0
1810010H24Rik,0,0,0,0
1810011H11Rik,0,0,0,0
1810011O10Rik,0,0,0,0
1810012K16Rik,0,0,0,0
1810013A23Rik,0,0,0,0
1810013D10Rik,372,0,268,0
1810013L24Rik,38,3,746,0
1810014B01Rik,8,3,1,0
1810018F18Rik,0,0,0,0
1810019D21Rik,0,0,0,0
1810019J16Rik,0,0,0,0
1810020O05Rik,0,0,10,0
1810021B22Rik,0,0,14,0
1810022K09Rik,229,207,45,186
1810024B03Rik,0,0,0,0
1810026B05Rik,110,5,0,0
1810026J23Rik,195,2,55,4
1810030O07Rik,790,57,20,22
1810032O08Rik,0,0,0,0
1810033B17Rik,0,0,0,0
1810034E14Rik,0,0,0,0
1810035I16Rik,13,19,54,5
1810037I17Rik,137,38,186,0
1810041L15Rik,67,1064,96,598
1810043G02Rik,66,13,0,13
1810043H04Rik,123,110,0,730
1810044D09Rik,0,0,0,0
1810046K07Rik,0,0,0,0
1810053B23Rik,0,0,0,0
1810055G02Rik,0,0,0,0
1810058I24Rik,269,206,0,0
1810062G17Rik,0,0,0,0
1810062O18Rik,0,0,0,0
1810064F22Rik,17,3,10,2
1810065E05Rik,0,0,0,0
2010001E11Rik,0,0,0,0
2010001M06Rik,47,0,0,0
2010002M12Rik,7,8,17,1
2010003K11Rik,0,0,0,0
2010003O02Rik,0,33,0,58
2010005H15Rik,0,0,0,0
2010009K17Rik,0,0,0,0
2010010A06Rik,0,0,0,0
2010012O05Rik,119,194,163,190
2010015L04Rik,163,49,28,17
2010016I18Rik,0,0,0,0
2010106C02Rik,0,0,0,0
2010106E10Rik,0,16,0,0
2010107E04Rik,493,283,444,690
2010107G12Rik,0,0,0,0
2010107G23Rik,5,192,21,257
2010109A12Rik,0,0,0,0
2010109I03Rik,92,115,141,85
2010111I01Rik,177,86,0,0
2010204K13Rik,106,46,0,42
2010300C02Rik,2053,1753,258,366
2010308F09Rik,0,0,0,0
2010310C07Rik,0,0,0,0
2010315B03Rik,114,72,109,50
2010320M18Rik,0,0,1,0
2200002D01Rik,0,12,0,0
2200002J24Rik,0,0,0,0
2210010C04Rik,1,0,0,0
2210013O21Rik,71,0,3,0
2210015D19Rik,152,286,0,307
2210016F16Rik,36,0,2,0
2210016L21Rik,837,19,117,154
2210018M11Rik,6,128,2,35
2210019I11Rik,0,0,0,0
2210039B01Rik,5,38,18,13
2210404J11Rik,0,0,2,0
2210404O07Rik,0,0,0,0
2210404O09Rik,451,0,16,0
2210407C18Rik,0,0,0,0
2210408F21Rik,12,30,272,0
2210408I21Rik,56,0,8,6
2210409D07Rik,0,0,0,0
2210409E12Rik,0,0,0,0
2210414B05Rik,0,0,0,0
2210416O15Rik,0,6,0,0
2210417A02Rik,0,0,0,0
2210417K05Rik,0,0,0,0
2210420H20Rik,2,0,0,0
2300002M23Rik,0,0,0,0
2300003K06Rik,0,0,0,0
2300005B03Rik,0,0,0,0
2300009A05Rik,8,141,0,74
2310001H17Rik,0,0,0,0
2310001K24Rik,0,0,0,0
2310002D06Rik,0,0,0,0
2310002F09Rik,20,0,1,0
2310002J15Rik,0,0,0,0
2310002L09Rik,0,0,0,0
2310003H01Rik,3,50,4,0
2310005A03Rik,4,0,0,1
2310005E17Rik,0,0,0,0
2310005G13Rik,0,0,0,0
2310007B03Rik,0,0,0,0
2310007L24Rik,0,0,0,0
2310008H04Rik,0,0,0,0
2310008H09Rik,71,1247,133,164
2310008N11Rik,0,0,0,0
2310009A05Rik,112,7,0,0
2310009B15Rik,34,26,1,84
2310010J17Rik,0,0,0,0
2310010M20Rik,62,87,98,85
2310011J03Rik,364,10,21,430
2310014F07Rik,0,0,0,0
2310014L17Rik,23,4,13,8
2310015A10Rik,0,0,5,0
2310015B20Rik,0,0,0,0
2310015D24Rik,0,0,0,0
2310016D03Rik,0,0,0,0
2310020H05Rik,0,0,0,0
2310022A10Rik,1,6,12,4
2310022B05Rik,59,0,0,0
2310030A07Rik,0,0,0,0
2310030G06Rik,0,0,0,0
2310033P09Rik,195,64,156,11
2310034C09Rik,0,0,0,0
2310034G01Rik,0,0,0,0
2310034O05Rik,0,0,0,0
2310035C23Rik,741,326,427,3
2310036O22Rik,24,626,65,137
2310039H08Rik,92,123,115,1
2310039L15Rik,68,133,59,23
2310040G24Rik,165,0,0,0
2310042D19Rik,106,0,0,0
2310042E22Rik,0,0,0,0
2310043L19Rik,0,0,0,0
2310043O21Rik,0,0,0,0
2310044G17Rik,451,98,251,174
2310045N01Rik,148,0,2,0
2310047M10Rik,195,3,141,0
2310050B05Rik,0,0,0,0
2310050C09Rik,0,0,0,0
2310057J18Rik,0,0,0,0
2310057M21Rik,3,262,3,132
2310057N15Rik,0,0,0,0
2310061I04Rik,0,461,101,0
2310061J03Rik,0,0,0,78
2310061N02Rik,0,0,0,0
2310065F04Rik,0,0,0,0
2310067B10Rik,118,2,8,78
2310068J16Rik,32,0,0,0
2310069B03Rik,0,0,0,0
2310069G16Rik,158,0,0,0
2310079G19Rik,0,0,0,0
2310081J21Rik,0,0,0,0
2410002F23Rik,6,0,99,217
2410003L11Rik,0,0,0,0
2410004B18Rik,0,151,2,156
2410004I01Rik,0,0,0,0
2410004N09Rik,60,159,86,1
2410004P03Rik,10,2,0,0
2410006H16Rik,29,14,220,2
2410007B07Rik,1,0,0,0
2410012E07Rik,1,0,3,4
2410012M07Rik,0,0,0,0
2410015M20Rik,192,103,22,256
2410016O06Rik,0,0,0,0
2410017I17Rik,0,0,0,0
2410018L13Rik,0,0,0,0
2410018M08Rik,2,0,0,0
2410021H03Rik,0,1,0,0
2410057H14Rik,0,0,0,0
2410066E13Rik,0,4,7,1
2410076I21Rik,0,0,0,0
2410088K16Rik,0,0,0,0
2410089E03Rik,492,204,16,5
2410114N07Rik,8,7,2,0
2410124H12Rik,0,0,0,0
2410127L17Rik,39,0,12,26
2410131K14Rik,0,0,0,5
2410137F16Rik,0,34,184,0
2410137M14Rik,0,0,0,0
2410141K09Rik,0,0,0,0
2500004C02Rik,119,149,79,44
2510002D24Rik,36,426,471,26
2510003D18Rik,0,0,0,0
2510003E04Rik,176,16,24,306
2510009E07Rik,0,0,257,0
2510039O18Rik,0,115,0,0
2510049J12Rik,3,5,2,1
2600006L11Rik,0,0,0,1
2610001J05Rik,13,110,107,0
2610002J02Rik,4,0,12,50
2610002M06Rik,94,73,3,299
2610005L07Rik,794,75,50,9
2610008E11Rik,1,88,95,0
2610015P09Rik,315,46,0,17
2610016A17Rik,0,0,0,0
2610017I09Rik,185,0,0,0
2610018G03Rik,0,0,0,0
2610019E17Rik,0,0,73,0
2610019F03Rik,587,0,1,2
2610020C07Rik,1,0,0,0
2610020H08Rik,0,0,0,0
2610027K06Rik,0,0,0,0
2610028E06Rik,5,1,2,0
2610028H24Rik,0,0,0,0
2610034B18Rik,0,1,10,0
2610034M16Rik,0,0,0,0
2610035D17Rik,106,0,0,0
2610035F20Rik,0,0,0,0
2610037D02Rik,7,4,1,0
2610044O15Rik8,313,89,112,21
2610100L16Rik,0,0,0,1
2610203C20Rik,0,0,50,0
2610203C22Rik,77,0,0,0
2610204G22Rik,6,0,0,0
2610206C17Rik,0,0,0,0
2610301B20Rik,54,140,48,271
2610301G19Rik,101,0,0,447
2610305D13Rik,0,0,0,0
2610306M01Rik,0,71,0,0
2610307P16Rik,0,0,0,0
2610316D01Rik,0,0,23,0
2610318N02Rik,0,0,0,0
2610507B11Rik,143,171,676,34
2610507I01Rik,223,41,65,53
2610524H06Rik,103,0,2,222
2610528A11Rik,0,0,0,0
2610528J11Rik,0,0,0,0
2700029M09Rik,132,45,109,87
2700038G22Rik,7,2,10,7
2700046A07Rik,0,0,0,0
2700046G09Rik,0,0,246,0
2700049A03Rik,0,1,82,0
2700050L05Rik,12,24,5,59
2700054A10Rik,5,7,1,16
2700060E02Rik,323,672,122,271
2700062C07Rik,370,0,16,0
2700069I18Rik,6,7,2,2
2700070H01Rik,18,31,23,16
2700081L22Rik,0,0,0,0
2700081O15Rik,5,144,91,0
2700086A05Rik,0,0,0,0
2700089E24Rik,312,74,633,279
2700089I24Rik,1,0,0,2
2700094K13Rik,0,0,0,0
2700097O09Rik,0,0,0,0
2700099C18Rik,63,0,12,0
2810001G20Rik,205,0,63,6
2810002D19Rik,0,2,0,12
2810004N23Rik,27,29,16,44
2810006K23Rik,46,27,73,23
2810007J24Rik,0,0,0,0
2810008D09Rik,3,143,435,97
2810011L19Rik,0,59,0,1
2810013P06Rik,717,45,6,463
2810021J22Rik,13,0,5,2
2810025M15Rik,235,387,0,23
2810029C07Rik,0,0,0,0
2810032G03Rik,0,0,9,0
2810047C21Rik1,0,0,0,1
2810049E08Rik,0,27,0,0
2810055G20Rik,0,3,12,0
2810403A07Rik,304,573,857,1031
2810403D21Rik,0,0,0,0
2810404M03Rik,0,0,0,0
2810405F15Rik,0,0,0,0
2810407C02Rik,534,505,263,1000
2810408A11Rik,0,0,0,0
2810408I11Rik,0,0,0,0
2810408M09Rik,10,22,1,1
2810410L24Rik,0,0,3,0
2810417H13Rik,52,3,31,1
2810428I15Rik,341,167,0,335
2810429I04Rik,0,0,0,0
2810433D01Rik,0,0,0,0
2810442I21Rik,32,54,74,105
2810442N19Rik,0,0,0,0
2810454H06Rik,47,3,0,0
2810459M11Rik,0,0,0,0
2810468N07Rik,0,0,0,0
2810471M01Rik,1,3,3,1
2810474O19Rik,6,9,5,1
2900002K06Rik,0,0,0,0
2900005J15Rik,21,0,0,0
2900008C10Rik,8,0,0,0
2900009J06Rik,0,4,0,0
2900011O08Rik,1884,162,109,198
2900026A02Rik,61,55,11,7
2900041M22Rik,40,0,0,0
2900052N01Rik,375,260,15,0
2900055J20Rik,1112,65,314,106
2900056M20Rik,1042,474,329,76
2900057B20Rik,0,0,0,0
2900060B14Rik,466,387,883,2727
2900076A07Rik,0,19,0,0
2900079G21Rik,20,67,14,19
2900092C05Rik,0,0,0,0
2900092D14Rik,72,19,56,55
2900093L17Rik,0,0,0,0
2900097C17Rik,10696,2864,1194,3325
3000002C10Rik,9,1,2,0
3010001F23Rik,32,0,0,0
3010026O09Rik,0,94,5,0
3100003L05Rik,0,0,0,0
3110001D03Rik,4,0,287,239
3110001I22Rik,0,0,0,0
3110002H16Rik,0,120,0,0
3110007F17Rik,0,0,0,0
3110009E18Rik,0,0,0,0
3110009F21Rik,0,0,0,0
3110015C05Rik,0,0,0,0
3110021A11Rik,11,0,0,0
3110021N24Rik,33,0,0,17
3110035E14Rik,112,108,49,138
3110039I08Rik,0,0,0,0
3110039M20Rik,0,0,20,0
3110040N11Rik,0,0,0,3
3110043O21Rik,1117,0,33,131
3110045C21Rik,0,0,0,0
3110047P20Rik,58,0,38,114
3110052M02Rik,17,2,0,187
3110056K07Rik,0,104,0,439
3110057O12Rik,0,156,0,0
3110062M04Rik,42,0,0,0
3110070M22Rik,8,0,0,0
3110079O15Rik,0,0,0,0
3110082I17Rik,3,483,19,14
3110082J24Rik,0,0,0,3
3110099E03Rik,0,0,0,0
3200001D21Rik,0,0,0,0
3230401D17Rik,11,0,22,0
3300002I08Rik,0,0,0,0
3300005D01Rik,0,0,0,0
3425401B19Rik,1,2,0,1
3632451O06Rik,35,2,0,0
3632454L22Rik,14,10,10,10
3830403N18Rik,0,0,0,7
3830406C13Rik,3,4,33,9
3830408C21Rik,0,0,0,0
3830417A13Rik,0,0,0,0
3930402G23Rik,0,0,0,0
4430402I18Rik,9,0,0,0
4632415K11Rik,0,156,0,0
4632415L05Rik,96,23,27,185
